тема,ряд A,цвет A,L* A,ряд B,цвет B,L* B,ΔL*,ΔL* >= 25,линии A / B,линия совпадает,маркеры A / B (не на диаграммах T–X)
светлая,ряд 1,#0D2768,18.1,ряд 2,#4587DE,56.0,37.9,да,- / --,нет,o / s
светлая,ряд 1,#0D2768,18.1,ряд 3,#000000,0.0,18.1,нет,- / -.,нет,o / ^
светлая,ряд 1,#0D2768,18.1,ряд 4,#D55E00,54.2,36.1,да,- / :,нет,o / D
светлая,ряд 1,#0D2768,18.1,ряд 5,#009E73,57.7,39.7,да,- / -,да,o / v
светлая,ряд 1,#0D2768,18.1,ряд 6,#CC79A7,61.0,43.0,да,- / --,нет,o / P
светлая,ряд 1,#0D2768,18.1,ряд 7,#0072B2,46.0,27.9,да,- / -.,нет,o / X
светлая,ряд 2,#4587DE,56.0,ряд 3,#000000,0.0,56.0,да,-- / -.,нет,s / ^
светлая,ряд 2,#4587DE,56.0,ряд 4,#D55E00,54.2,1.8,нет,-- / :,нет,s / D
светлая,ряд 2,#4587DE,56.0,ряд 5,#009E73,57.7,1.8,нет,-- / -,нет,s / v
светлая,ряд 2,#4587DE,56.0,ряд 6,#CC79A7,61.0,5.1,нет,-- / --,да,s / P
светлая,ряд 2,#4587DE,56.0,ряд 7,#0072B2,46.0,10.0,нет,-- / -.,нет,s / X
светлая,ряд 3,#000000,0.0,ряд 4,#D55E00,54.2,54.2,да,-. / :,нет,^ / D
светлая,ряд 3,#000000,0.0,ряд 5,#009E73,57.7,57.7,да,-. / -,нет,^ / v
светлая,ряд 3,#000000,0.0,ряд 6,#CC79A7,61.0,61.0,да,-. / --,нет,^ / P
светлая,ряд 3,#000000,0.0,ряд 7,#0072B2,46.0,46.0,да,-. / -.,да,^ / X
светлая,ряд 4,#D55E00,54.2,ряд 5,#009E73,57.7,3.6,нет,: / -,нет,D / v
светлая,ряд 4,#D55E00,54.2,ряд 6,#CC79A7,61.0,6.9,нет,: / --,нет,D / P
светлая,ряд 4,#D55E00,54.2,ряд 7,#0072B2,46.0,8.2,нет,: / -.,нет,D / X
светлая,ряд 5,#009E73,57.7,ряд 6,#CC79A7,61.0,3.3,нет,- / --,нет,v / P
светлая,ряд 5,#009E73,57.7,ряд 7,#0072B2,46.0,11.8,нет,- / -.,нет,v / X
светлая,ряд 6,#CC79A7,61.0,ряд 7,#0072B2,46.0,15.1,нет,-- / -.,нет,P / X
тёмная,ряд 1,#4587DE,56.0,ряд 2,#B4D1EE,82.6,26.7,да,- / --,нет,o / s
тёмная,ряд 1,#4587DE,56.0,ряд 3,#F1EFEA,94.5,38.5,да,- / -.,нет,o / ^
тёмная,ряд 1,#4587DE,56.0,ряд 4,#F5A79F,75.8,19.8,нет,- / :,нет,o / D
тёмная,ряд 1,#4587DE,56.0,ряд 5,#8FE0B4,83.2,27.2,да,- / -,да,o / v
тёмная,ряд 1,#4587DE,56.0,ряд 6,#E8B200,75.4,19.5,нет,- / --,нет,o / P
тёмная,ряд 1,#4587DE,56.0,ряд 7,#9CC0F2,76.8,20.8,нет,- / -.,нет,o / X
тёмная,ряд 2,#B4D1EE,82.6,ряд 3,#F1EFEA,94.5,11.8,нет,-- / -.,нет,s / ^
тёмная,ряд 2,#B4D1EE,82.6,ряд 4,#F5A79F,75.8,6.8,нет,-- / :,нет,s / D
тёмная,ряд 2,#B4D1EE,82.6,ряд 5,#8FE0B4,83.2,0.5,нет,-- / -,нет,s / v
тёмная,ряд 2,#B4D1EE,82.6,ряд 6,#E8B200,75.4,7.2,нет,-- / --,да,s / P
тёмная,ряд 2,#B4D1EE,82.6,ряд 7,#9CC0F2,76.8,5.8,нет,-- / -.,нет,s / X
тёмная,ряд 3,#F1EFEA,94.5,ряд 4,#F5A79F,75.8,18.7,нет,-. / :,нет,^ / D
тёмная,ряд 3,#F1EFEA,94.5,ряд 5,#8FE0B4,83.2,11.3,нет,-. / -,нет,^ / v
тёмная,ряд 3,#F1EFEA,94.5,ряд 6,#E8B200,75.4,19.0,нет,-. / --,нет,^ / P
тёмная,ряд 3,#F1EFEA,94.5,ряд 7,#9CC0F2,76.8,17.7,нет,-. / -.,да,^ / X
тёмная,ряд 4,#F5A79F,75.8,ряд 5,#8FE0B4,83.2,7.4,нет,: / -,нет,D / v
тёмная,ряд 4,#F5A79F,75.8,ряд 6,#E8B200,75.4,0.3,нет,: / --,нет,D / P
тёмная,ряд 4,#F5A79F,75.8,ряд 7,#9CC0F2,76.8,1.0,нет,: / -.,нет,D / X
тёмная,ряд 5,#8FE0B4,83.2,ряд 6,#E8B200,75.4,7.7,нет,- / --,нет,v / P
тёмная,ряд 5,#8FE0B4,83.2,ряд 7,#9CC0F2,76.8,6.4,нет,- / -.,нет,v / X
тёмная,ряд 6,#E8B200,75.4,ряд 7,#9CC0F2,76.8,1.3,нет,-- / -.,нет,P / X
