"показатель phase_styles (app/thermogar_palette.py:76; LINE_STYLES :67, MARKERS :68)",значение
"цветов, светлая тема","7: #0D2768, #4587DE, #000000, #D55E00, #009E73, #CC79A7, #0072B2 (LIGHT_SERIES)"
"цветов, тёмная тема","7: #4587DE, #B4D1EE, #F1EFEA, #F5A79F, #8FE0B4, #E8B200, #9CC0F2 (DARK_SERIES)"
видов линий,"4: «-», «--», «-.», «:» (LINE_STYLES)"
маркеров,"7: o, s, ^, D, v, P, X (MARKERS); на диаграммах T–X и тройных линии без маркеров"
назначение,"по алфавиту имён фаз, три независимых цикла; цвет повторяется с 8-й фазы, пара цвет+линия — с 29-й"
пары с одинаковым видом линии (1–7),"(1,5) ΔL* 39,7; (2,6) ΔL* 5,1 ✗; (3,7) ΔL* 46,0 — на диаграммах без маркеров пара 2/6 различается только оттенком"
"пары с ΔL* < 25 (светлая, из 21)",14 (см. t1_3b_series_lightness.csv)
"пары с ΔL* < 25 (тёмная, из 21)",15
8-я фаза,"цвет и маркер как у 1-й, линия «:» против «-» — различие только формой, ΔL* 0 ✗ G-4"
наибольшее число рядов по коду,"энергии фаз — 8 (max_selections=8); затвердевание — 2; радиус/плотность — 2; диаграммы T–X, тройные, доли фаз — не ограничено кодом (подсказки при > 7 и > 10 фаз)"
