файл,строка,функция,достижимо из приложения,вызов,вид места,что выводится,"формат (T-3, D-15)",единица рядом (W-4),дробное число — перевод на запятую по А-2,примечание
app/ThermoGar_app.py,1587,render_b4b_density_single,да,st.number_input,поле ввода,"Температура, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,1662,render_b4b_density_single,да,st.metric,метрика,"Плотность сплава, кг/м³ = '—' if projection['alloy_density_kg_m3'] is None else f""{projection['a",есть: .1f,да (в подписи),да,
app/ThermoGar_app.py,1688,render_b4b_density_single,да,st.dataframe,таблица,coverage,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,1703,render_b4b_density_single,да,st.info,текст экрана,{projection['mass_coverage_pct']:.2f},есть: .2f,да,да,
app/ThermoGar_app.py,1716,render_b4b_density_single,да,st.dataframe,таблица,pd.DataFrame(projection['phase_rows']),нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,1718,render_b4b_density_single,да,st.dataframe,таблица,pd.DataFrame(projection['missing_rows']),нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
app/ThermoGar_app.py,1751,render_b4b_density_temperature,да,st.number_input,поле ввода,"Температура от, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,1753,render_b4b_density_temperature,да,st.number_input,поле ввода,"Температура до, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,1755,render_b4b_density_temperature,да,st.number_input,поле ввода,"Шаг температуры, °C",нет (Streamlit по умолчанию %0.2f),да,да,подпись и значение поля; дробная точка в поле ввода Streamlit
app/ThermoGar_app.py,1902,render_b4b_density_temperature,да,st.dataframe,таблица,table,нет,в заголовках столбцов (проверить снимком),да (если есть дробные столбцы),формат столбцов не задан; Streamlit выводит float по своему правилу
