уровень,вкладка,где объявлена,подвкладки (число),где объявлены подвкладки,замечание
1,Расчёты,ThermoGar_app.py:7177,Одна температура · Температурный диапазон · Изменение состава (3),ThermoGar_app.py:7190,
1,Диаграммы,ThermoGar_app.py:7177,Бинарная T–X · Многокомпонентное T–X · Тройная при T = const · Карта доли фазы (4),ThermoGar_app.py:8180,
1,Затвердевание,ThermoGar_app.py:7177,"Сводка · Твёрдые фазы · Остаточный расплав · Выгрузка (4, после расчёта)",ThermoGar_app.py:10507,
1,Энергии,ThermoGar_app.py:7177,Энергии фаз · Движущая сила · T₀ (3),ThermoGar_app.py:10684,
1,Свойства,ThermoGar_app.py:7177,Плотность · Плотность по T · Упругие свойства · Вклады упрочнения · Покрытие PDB (5),ThermoGar_app.py:11439,«PDB» — аббревиатура в имени вкладки (W-1)
1,Кинетика,ThermoGar_app.py:7177,Диффузия и гомогенизация · Выделения (2),ThermoGar_app.py:11531,
3,Кинетика → Диффузия и гомогенизация,,Однофазная пара · Многофазная гомогенизация · Покрытие базы подвижностей (3),thermogar_diffusion.py:1396,третий ряд вкладок ✗ N-4
3,Кинетика → Выделения,,"Итоги · Кинетика и состав · Распределение размеров · Экспорт и ограничения (4, после расчёта)",thermogar_precipitation.py:1623,третий ряд вкладок ✗ N-4
1,Проекты и данные,ThermoGar_app.py:7177,Марки и составы · Пакетный расчёт · Проекты и история · Паспорт базы · Как пользоваться · Справочник фаз · Проверка установки (7),ThermoGar_app.py:11788,
3*,Проекты и данные → Проекты и история,,st.radio horizontal «Проекты / История расчётов» — переключатель в роли третьего ряда,thermogar_workspace.py:1638,не st.tabs; по смыслу третий уровень (спорно)
