экран;вкладка;подвкладка;вид (переключатель);основная кнопка;кнопка файл:строка;№;вид элемента;подпись;key;умолчание ni;умолчание al;умолчание fe;мин;макс;шаг;условие показа;в раскрывающемся блоке;форма;в одной строке (st.columns);обязательное;через функцию;подсказка (help);прочее;файл:строка
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;1;заголовок;Равновесие при одной температуре;;;;;;;;;;;;;;;;app/ThermoGar_app.py:7412
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;2;поле (число);Температура, °C;single_temperature_{база};700;500;700;;;10;;;;;нет;;;;app/ThermoGar_app.py:7414
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;3;плашка (error);excluded_phase_message(rejected_candidates);;;;;;;;rejected_candidates;;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7441;;;app/ThermoGar_app.py:2865
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;4;плашка (info);unbuildable_note;;;;;;;;unbuildable_note;;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7441;;;app/ThermoGar_app.py:2868
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;5;раскрывающийся блок;Управление фазами / метастабильный расчёт (expanded=False);;;;;;;;;;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7441;;;app/ThermoGar_app.py:2873
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;6;радио;Набор фаз;single_phase_set_{база};все фазы базы (all);все фазы базы (all);все фазы базы (all);;;;len(fast_phases) < len(all_phases);Управление фазами / метастабильный расчёт;;;нет;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7441;;;app/ThermoGar_app.py:2895
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;7;подпись;"Быстрый набор — обычные для практики фазы; если сомневаетесь, проверьте результат в режиме ""все фазы"".";;;;;;;;len(fast_phases) < len(all_phases);Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7441;;;app/ThermoGar_app.py:2906
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;8;плашка (warning);dropped_phases_warning(dropped);;;;;;;;len(fast_phases) < len(all_phases) И phase_mode == PHASE_MODE_FAST И dropped;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7441;;;app/ThermoGar_app.py:2916
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;9;раскрывающийся блок;dropped_phases_expander_label(len(dropped));;;;;;;;len(fast_phases) < len(all_phases) И phase_mode == PHASE_MODE_FAST И dropped И len(dropped) > DROPPED_PHASES_SHOWN;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7441;;;app/ThermoGar_app.py:2918
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;10;подпись;dropped_phases_full_list(dropped);;;;;;;;len(fast_phases) < len(all_phases) И phase_mode == PHASE_MODE_FAST И dropped И len(dropped) > DROPPED_PHASES_SHOWN;Управление фазами / метастабильный расчёт › dropped_phases_expander_label(len(dropped));;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7441;;;app/ThermoGar_app.py:2921
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;11;радио;Какие фазы учитывать;single_phase_mode_{база};Автоматически — все совместимые фазы;Автоматически — все совместимые фазы;Автоматически — все совместимые фазы;;;;;Управление фазами / метастабильный расчёт;;;нет;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7441;;;app/ThermoGar_app.py:2931
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;12;подпись;f'В расчёте будет учтено фаз: {len(candidate_phases)}. Это обычное равновесие для выбранной базы и состава.';;;;;;;;mode.startswith('Автоматически');Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7441;;;app/ThermoGar_app.py:2942
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;13;плашка (warning);Если отключить устойчивую фазу, получится метастабильное равновесие только среди оставленных фаз.;;;;;;;;не (mode.startswith('Автоматически'));Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7441;;;app/ThermoGar_app.py:2948
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;14;таблица-редактор;phase_table;f'{key_prefix}_phase_editor_{database_key}_{signature}';;;;;;;не (mode.startswith('Автоматически'));Управление фазами / метастабильный расчёт;;;да, ≥1 фаза в ручном режиме — ThermoGar_app.py:3025–3026 (st.error до нажатия);phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7441;;disabled=['Фаза', 'Что это', 'Примечание модели'];app/ThermoGar_app.py:2975
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;15;плашка (error);excluded_phase_message(rejected_selected);;;;;;;;не (mode.startswith('Автоматически')) И rejected_selected;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7441;;;app/ThermoGar_app.py:3018
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;16;подпись;f'Выбрано фаз: {len(selected)} из {len(candidate_phases)}.';;;;;;;;не (mode.startswith('Автоматически'));Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7441;;;app/ThermoGar_app.py:3021
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;17;плашка (error);Нужно оставить хотя бы одну фазу.;;;;;;;;не (mode.startswith('Автоматически')) И not selected;Управление фазами / метастабильный расчёт;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7441;;;app/ThermoGar_app.py:3026
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;18;плашка (error, текст исключения);Список фаз появится после исправления состава.;;;;;;;;при исключении;;;;;;;;app/ThermoGar_app.py:7449
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;19;кнопка;Рассчитать равновесие;single_calculate;;;;;;;type(single_feature_decision) in (verified_loaders.FeatureRequest, verified_loaders.Rejec…;;;;;;;type='primary';app/ThermoGar_app.py:7496
S01;Расчёты;Одна температура;;Рассчитать равновесие;app/ThermoGar_app.py:7499;20;кнопка;Рассчитать равновесие;single_calculate;;;;;;;не (type(single_feature_decision) in (verified_loaders.FeatureRequest, verified_loaders.Rejec…);;;;;;Параметры расчёта некорректны.;"type='primary'; disabled=True";app/ThermoGar_app.py:7503
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;1;заголовок;Изменение фазовых долей с температурой;;;;;;;;;;;;;;;;app/ThermoGar_app.py:7710
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;2;поле (число);От, °C;t_min_{база};500;200;400;;;10;;;;st.columns@ThermoGar_app.py:7712 (колонка 1 из 3);нет;;;;app/ThermoGar_app.py:7715
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;3;поле (число);До, °C;t_max_{база};1200;700;1200;;;10;;;;st.columns@ThermoGar_app.py:7712 (колонка 2 из 3);нет;;;;app/ThermoGar_app.py:7723
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;4;поле (число);Шаг, °C;t_step_{база};25;25;400;0.1;;5;;;;st.columns@ThermoGar_app.py:7712 (колонка 3 из 3);нет;;;;app/ThermoGar_app.py:7731
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;5;поле (число);Показывать на графике фазы с максимумом не менее, %;;0.1;0.1;0.1;0;;0.1;;;;;нет;;;;app/ThermoGar_app.py:7739
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;6;плашка (error);excluded_phase_message(rejected_candidates);;;;;;;;rejected_candidates;;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7768;;;app/ThermoGar_app.py:2865
S02;Расчёты;Температурный диапазон;;Построить график по температуре;app/ThermoGar_app.py:7849;7;плашка (info);unbuildable_note;;;;;;;;unbuildable_note;;;;;phase_selection_editor (ThermoGar_app.py:2846), вызов ThermoGar_app.py:7768;;;app/ThermoGar_app.py:2868
