экран;вкладка;подвкладка / вид;вид элемента;подпись;key;сейчас в блоке;в одной строке (st.columns);обязательное;решение 9Б;блок;ранг (1 — сворачивать первым);причина по коду;файл:строка
S01;Расчёты;Одна температура;поле (число);Температура, °C;single_temperature_{база};;;нет;открыто;;;вопрос расчёта: температура точки;app/ThermoGar_app.py:7414
S01;Расчёты;Одна температура;радио;Набор фаз;single_phase_set_{база};Управление фазами / метастабильный расчёт;;нет;уже в блоке;Управление фазами / метастабильный расчёт;;набор фаз — уже свёрнут;app/ThermoGar_app.py:2895
S01;Расчёты;Одна температура;радио;Какие фазы учитывать;single_phase_mode_{база};Управление фазами / метастабильный расчёт;;нет;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2931
S01;Расчёты;Одна температура;таблица-редактор;phase_table;f'{key_prefix}_phase_editor_{database_key}_{signature}';Управление фазами / метастабильный расчёт;;да, ≥1 фаза в ручном режиме — ThermoGar_app.py:3025–3026 (st.error до нажатия);уже в блоке;Управление фазами / метастабильный расчёт;;"уже свёрнут; обязательна ≥1 фаза только в ручном режиме";app/ThermoGar_app.py:2975
S02;Расчёты;Температурный диапазон;поле (число);От, °C;t_min_{база};;st.columns@ThermoGar_app.py:7712 (колонка 1 из 3);нет;открыто;;;вопрос расчёта: диапазон;app/ThermoGar_app.py:7715
S02;Расчёты;Температурный диапазон;поле (число);До, °C;t_max_{база};;st.columns@ThermoGar_app.py:7712 (колонка 2 из 3);нет;открыто;;;вопрос расчёта: диапазон;app/ThermoGar_app.py:7723
S02;Расчёты;Температурный диапазон;поле (число);Шаг, °C;t_step_{база};;st.columns@ThermoGar_app.py:7712 (колонка 3 из 3);нет;открыто;;;численный шаг, но стоит в одной строке с «От/До»: свёртка одного шага высоты не даёт — строка остаётся;app/ThermoGar_app.py:7731
S02;Расчёты;Температурный диапазон;поле (число);Показывать на графике фазы с максимумом не менее, %;;;;нет;свернуть;Точность и критерии;1;"порог показа на графике; на расчёт не влияет, только отбор линий (подпись поля)";app/ThermoGar_app.py:7739
S02;Расчёты;Температурный диапазон;радио;Набор фаз;temperature_phase_set_{база};Управление фазами / метастабильный расчёт;;нет;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2895
S02;Расчёты;Температурный диапазон;радио;Какие фазы учитывать;temperature_phase_mode_{база};Управление фазами / метастабильный расчёт;;нет;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2931
S02;Расчёты;Температурный диапазон;таблица-редактор;phase_table;f'{key_prefix}_phase_editor_{database_key}_{signature}';Управление фазами / метастабильный расчёт;;да, ≥1 фаза в ручном режиме — ThermoGar_app.py:3025–3026;уже в блоке;Управление фазами / метастабильный расчёт;;уже свёрнут;app/ThermoGar_app.py:2975
S03;Расчёты;Изменение состава;выбор;Изменяемый элемент;;;;нет;открыто;;;вопрос расчёта: ось состава;app/ThermoGar_app.py:8034
