прогон;экран;база;вариант;что изменено;время расчёта, с;итог;что на экране;кадры
01;S02;fe;umolch;—;18.3;малоинформативный;"3 точки (400, 800, 1200 °C); фазы M23C6, BCC_B2, FCC_A1; переход феррит → аустенит показан одной промежуточной точкой: BCC_B2 95.6 → 22.1 → 0 %";S02_fe_umolch.png
02;S02;fe;K2;"«От, °C» 500; «До, °C» 900; «Шаг, °C» 100";27.8;осмысленный;"5 точек 500–900 °C; до 700 °C BCC_B2 95.6 % + M23C6 4.4 %; 800 °C BCC_B2 22.1 + FCC_A1 74.5 + M23C6 3.4 %; 900 °C FCC_A1 98.8 + M23C6 1.2 %";S02_fe_K2.png
03;S13;fe;umolch;—;24.1;малоинформативный;3 точки (673.15, 1073.15, 1473.15 K): 7671.5 / 7596.0 / 7426.3 кг/м³;S13_fe_umolch.png
04;S13;fe;K2;"«Температура от, °C» 500; «Температура до, °C» 900; «Шаг температуры, °C» 100";36.4;осмысленный;5 точек 773.15–1173.15 K: 7641.5, 7609.6, 7575.7, 7596.0, 7566.6 кг/м³ — скачок при переходе в аустенит между 700 и 800 °C;S13_fe_K2.png
05;S03;fe;umolch;—;8.1;малоинформативный;изменяемый Al 0/10/20 мас.% — 3 точки, одна фаза BCC_B2 100 % (горизонтальная линия);S03_fe_umolch.png
06;S03;fe;K1;"«Изменяемый элемент» C; «C: от, мас.%» 0.1; «C: до, мас.%» 0.5; «C: шаг, мас.%» 0.1";20.8;осмысленный;"C 0.1–0.5 мас.% — 5 точек; CEMENTITE 1.59 → 8.89 %, BCC_B2 98.41 → 91.11 %";S03_fe_K1.png
07;S03;al;umolch;—;25.6;осмысленный;"изменяемый Cr 0–20 ат.% (система Al–Cr, Cu=4 из боковой панели в расчёт не входит) — 21 точка; GP_MAT 100 → 0 % к 8 ат.% Cr, AL12MN до 98.2 %, AL3M_D022 с 8 ат.%";S03_al_umolch.png
08;S03;al;K1;"«Изменяемый элемент» Cu; «Cu: от, ат.%» 1; «Cu: до, ат.%» 5; «Cu: шаг, ат.%» 1";20.8;осмысленный;"Cu 1–5 ат.% — 5 точек; THETA_AL2CU 0 → 11.62 %, GP_MAT 100 → 88.38 %";S03_al_K1.png
09;S03;ni;umolch;—;15.2;осмысленный;"Al 0–20 ат.% при 700 °C — 21 точка; FCC_A1 100 % до 11 ат.%, дальше GAMMA_PRIME растёт до ≈70 % при 20 ат.%";S03_ni_umolch.png
10;S02;ni;umolch;—;18.1;осмысленный;"500–1200 °C шагом 25 — 29 точек; GAMMA_PRIME 36.8 % при 500 °C убывает до 0 около 1125 °C, дальше FCC_A1 100 %";S02_ni_umolch.png
