тема;экран;шаг Tab;тег;role;testid;key;подпись;элемент с кольцом;box-shadow;outline;класс кольца
Light;Расчёты / Одна температура;0;div;tab;stTab;;Одна температура;div[stTab];rgba(31, 96, 193, 0.5) 0px 0px 0px 3.6px;none 3px rgb(31, 96, 193);primary_poluprozrachnyi
Light;Расчёты / Одна температура;1;a;;stHeaderActionElements;;Link to heading;a;rgba(31, 96, 193, 0.5) 0px 0px 0px 3.6px;none 3px rgb(19, 59, 139);primary_poluprozrachnyi
Light;Расчёты / Одна температура;2;input;;stNumberInputField;st-key-single_temperature_fe;Температура, °C;input[stNumberInputField];none;none 3px rgb(35, 37, 41);net
Light;Расчёты / Одна температура;3;summary;;stExpander;;keyboard_arrow_right Управление фазами / метастабильный расч;summary;rgba(31, 96, 193, 0.5) 0px 0px 0px 3.6px;none 3px rgb(35, 37, 41);primary_poluprozrachnyi
Light;Расчёты / Одна температура;4;button;;stBaseButton-primary;st-key-single_calculate;Рассчитать равновесие;button[stBaseButton-primary];rgba(31, 96, 193, 0.5) 0px 0px 0px 3.6px;none 3px rgb(255, 255, 255);primary_poluprozrachnyi
Light;Затвердевание;0;div;tab;stTab;;Затвердевание;div[stTab];rgba(31, 96, 193, 0.5) 0px 0px 0px 3.6px;none 3px rgb(31, 96, 193);primary_poluprozrachnyi
Light;Затвердевание;1;a;;stHeaderActionElements;;Link to heading;a;rgba(31, 96, 193, 0.5) 0px 0px 0px 3.6px;none 3px rgb(19, 59, 139);primary_poluprozrachnyi
Light;Затвердевание;2;input;;stRadioOption;st-key-solidification_method_fe;Метод расчёта;input;none;auto 1px rgb(16, 16, 16);drugoi
Light;Затвердевание;3;summary;;stExpander;;keyboard_arrow_right Точность и критерии;summary;rgba(31, 96, 193, 0.5) 0px 0px 0px 3.6px;none 3px rgb(35, 37, 41);primary_poluprozrachnyi
Light;Затвердевание;4;summary;;stExpander;;keyboard_arrow_right Управление фазами / метастабильный расч;summary;rgba(31, 96, 193, 0.5) 0px 0px 0px 3.6px;none 3px rgb(35, 37, 41);primary_poluprozrachnyi
Light;Затвердевание;5;button;;stBaseButton-primary;st-key-solidification_calculate;Рассчитать затвердевание;button[stBaseButton-primary];rgba(31, 96, 193, 0.5) 0px 0px 0px 3.6px;none 3px rgb(255, 255, 255);primary_poluprozrachnyi
