Тип;Группа;Фаза / набор фаз;Точка;Состав, доля;Состав, ат.%;Температура, K;Температура, °C
Граница фазовой области;1;BCC_B2;1;0.1758743322768756;17.58743322768756;898.15;625.0
Граница фазовой области;1;BCC_B2;2;0.17612480229195374;17.612480229195373;903.15;630.0
Граница фазовой области;1;BCC_B2;3;0.1766508640158196;17.66508640158196;913.15;640.0
Граница фазовой области;1;BCC_B2;4;0.17728417660532503;17.728417660532504;924.3918105430915;651.2418105430916
Граница фазовой области;2;GAMMA_PRIME;1;0.06863479545652214;6.863479545652214;898.15;625.0
Граница фазовой области;2;GAMMA_PRIME;2;0.06915057168172105;6.915057168172105;903.15;630.0
Граница фазовой области;2;GAMMA_PRIME;3;0.07018450013191269;7.018450013191268;913.15;640.0
Граница фазовой области;2;GAMMA_PRIME;4;0.07226251873295489;7.226251873295489;933.15;660.0
Граница фазовой области;2;GAMMA_PRIME;5;0.07646457357612327;7.646457357612327;973.15;700.0
Граница фазовой области;2;GAMMA_PRIME;6;0.08181990432845158;8.181990432845158;1023.15;750.0
Граница фазовой области;2;GAMMA_PRIME;7;0.0873142337432456;8.73142337432456;1073.15;800.0000000000001
Граница фазовой области;2;GAMMA_PRIME;8;0.09297667254607382;9.297667254607383;1123.15;850.0000000000001
Граница фазовой области;2;GAMMA_PRIME;9;0.09883985289418377;9.883985289418378;1173.15;900.0000000000001
Граница фазовой области;2;GAMMA_PRIME;10;0.10494106107881854;10.494106107881853;1223.15;950.0000000000001
Граница фазовой области;2;GAMMA_PRIME;11;0.11132367553730665;11.132367553730665;1273.15;1000.0000000000001
Граница фазовой области;2;GAMMA_PRIME;12;0.11803902113448866;11.803902113448867;1323.15;1050.0
Граница фазовой области;2;GAMMA_PRIME;13;0.12514881410057416;12.514881410057416;1373.15;1100.0
Граница фазовой области;2;GAMMA_PRIME;14;0.13272848062338552;13.272848062338552;1423.15;1150.0
Граница фазовой области;2;GAMMA_PRIME;15;0.1408718312595932;14.08718312595932;1473.15;1200.0
Граница фазовой области;2;GAMMA_PRIME;16;0.14969796526049284;14.969796526049283;1523.15;1250.0
Граница фазовой области;2;GAMMA_PRIME;17;0.15936210636427006;15.936210636427006;1573.15;1300.0
Граница фазовой области;2;GAMMA_PRIME;18;0.1700739498601838;17.00739498601838;1623.15;1350.0
Граница фазовой области;2;GAMMA_PRIME;19;0.1726151979406487;17.26151979406487;1634.2222488385219;1361.0722488385218
Граница фазовой области;3;NIAL;1;0.23476966304510882;23.47696630451088;898.15;625.0
Граница фазовой области;3;NIAL;2;0.2348750995844996;23.48750995844996;903.15;630.0
Граница фазовой области;3;NIAL;3;0.23509082320467672;23.509082320467673;913.15;640.0
Граница фазовой области;3;NIAL;4;0.23554189096273717;23.554189096273717;933.15;660.0
Граница фазовой области;3;NIAL;5;0.236524261838584;23.6524261838584;973.15;700.0
Граница фазовой области;3;NIAL;6;0.2379029391299571;23.79029391299571;1023.15;750.0
Граница фазовой области;3;NIAL;7;0.23944253034098847;23.944253034098846;1073.15;800.0000000000001
Граница фазовой области;3;NIAL;8;0.24112802421679522;24.112802421679522;1123.15;850.0000000000001
Граница фазовой области;3;NIAL;9;0.24216405490468482;24.216405490468482;1152.1390364340245;878.9890364340246
Граница фазовой области;4;LIQUID;1;1.000000141193663e-06;0.0001000000141193663;1715.5328752566625;1442.3828752566624
Граница фазовой области;4;LIQUID;2;0.0020009999537133434;0.20009999537133433;1715.3220105765126;1442.1720105765125
Граница фазовой области;4;LIQUID;3;0.006000999907486521;0.6000999907486521;1714.879633090654;1441.7296330906538
Граница фазовой области;4;LIQUID;4;0.014000999814293912;1.4000999814293913;1713.900484225093;1440.7504842250928
Граница фазовой области;4;LIQUID;5;0.03000099999979294;3.000099999979294;1711.473761002248;1438.323761002248
Граница фазовой области;4;LIQUID;6;0.050001000000248326;5.000100000024832;1707.3085440797936;1434.1585440797935
Граница фазовой области;4;LIQUID;7;0.07000100000092375;7.000100000092376;1701.55096194089;1428.4009619408898
Граница фазовой области;4;LIQUID;8;0.09000099999977454;9.000099999977454;1693.865436820945;1420.715436820945
Граница фазовой области;4;LIQUID;9;0.11000099998643398;11.000099998643398;1683.924683927055;1410.7746839270549
Граница фазовой области;4;LIQUID;10;0.1300009999990649;13.000099999906489;1671.3880314716139;1398.2380314716138
Граница фазовой области;4;LIQUID;11;0.15000100000184471;15.00010000018447;1655.8799191876083;1382.7299191876082
Граница фазовой области;4;LIQUID;12;0.1700010000013935;17.00010000013935;1636.970602174863;1363.8206021748629
Граница фазовой области;4;LIQUID;13;0.18105575658689535;18.105575658689535;1624.879486421682;1351.729486421682
Граница фазовой области;5;GAMMA_PRIME;1;0.2999999999948772;29.99999999948772;1458.3879460262747;1185.2379460262746
Граница фазовой области;5;GAMMA_PRIME;2;0.2990372294643976;29.90372294643976;1463.3879460262747;1190.2379460262746
Граница фазовой области;5;GAMMA_PRIME;3;0.297047450919373;29.7047450919373;1473.3879460262747;1200.2379460262746
Граница фазовой области;5;GAMMA_PRIME;4;0.29278248414887265;29.278248414887265;1493.3879460262747;1220.2379460262746
Граница фазовой области;5;GAMMA_PRIME;5;0.28282087079124724;28.282087079124725;1533.3879460262747;1260.2379460262746
Граница фазовой области;5;GAMMA_PRIME;6;0.2663778011018537;26.63778011018537;1583.3879460262747;1310.2379460262746
Граница фазовой области;5;GAMMA_PRIME;7;0.2541835914642958;25.41835914642958;1611.1837360882405;1338.0337360882404
Граница фазовой области;6;GAMMA_PRIME;1;0.2999999999948772;29.99999999948772;1458.3879460262747;1185.2379460262746
Граница фазовой области;6;GAMMA_PRIME;2;0.30094255834287736;30.094255834287736;1453.3879460262747;1180.2379460262746
Граница фазовой области;7;FCC_A1;1;0.2999999999946318;29.999999999463178;1337.397868903818;1064.247868903818
Граница фазовой области;7;FCC_A1;2;0.29893430728122866;29.893430728122866;1342.397868903818;1069.247868903818
Граница фазовой области;7;FCC_A1;3;0.29673030986212506;29.673030986212506;1352.397868903818;1079.247868903818
Граница фазовой области;7;FCC_A1;4;0.29201582162633455;29.201582162633454;1372.397868903818;1099.247868903818
Граница фазовой области;7;FCC_A1;5;0.2811970071537242;28.11970071537242;1412.397868903818;1139.247868903818
Граница фазовой области;7;FCC_A1;6;0.26438135714842204;26.438135714842204;1462.397868903818;1189.247868903818
Граница фазовой области;7;FCC_A1;7;0.24238832887811776;24.238832887811775;1512.397868903818;1239.247868903818
Граница фазовой области;8;FCC_A1;1;0.2999999999946318;29.999999999463178;1337.397868903818;1064.247868903818
Граница фазовой области;8;FCC_A1;2;0.301042149429434;30.104214942943404;1332.397868903818;1059.247868903818
Граница фазовой области;9;LIQUID;1;0.3000000000212628;30.00000000212628;1598.662290151688;1325.512290151688
Граница фазовой области;9;LIQUID;2;0.2980000000356887;29.800000003568872;1599.286460645299;1326.136460645299
Граница фазовой области;9;LIQUID;3;0.2940000000490358;29.400000004903582;1600.5111986242614;1327.3611986242613
Граница фазовой области;9;LIQUID;4;0.28600000004999837;28.60000000499984;1602.8705027579913;1329.7205027579912
Граница фазовой области;9;LIQUID;5;0.27000000007211655;27.000000007211653;1607.2544423806307;1334.1044423806306
Граница фазовой области;9;LIQUID;6;0.2541835914573422;25.41835914573422;1611.1837360881386;1338.0337360881385
Граница фазовой области;10;BCC_B2;1;0.29999999997280047;29.999999997280046;1315.7415527152102;1042.5915527152101
Граница фазовой области;10;BCC_B2;2;0.3013759591547791;30.13759591547791;1320.7415527152102;1047.5915527152101
Граница фазовой области;11;BCC_B2;1;0.29999999997280047;29.999999997280046;1315.7415527152102;1042.5915527152101
Граница фазовой области;11;BCC_B2;2;0.29860084250469987;29.86008425046999;1310.7415527152102;1037.5915527152101
Граница фазовой области;11;BCC_B2;3;0.29573316853868525;29.573316853868526;1300.7415527152102;1027.5915527152101
Граница фазовой области;11;BCC_B2;4;0.28972172325122814;28.972172325122813;1280.7415527152102;1007.5915527152102
Граница фазовой области;11;BCC_B2;5;0.2765997550423148;27.659975504231483;1240.7415527152102;967.5915527152102
Граница фазовой области;11;BCC_B2;6;0.25811327838342496;25.811327838342496;1190.7415527152102;917.5915527152102
Граница фазовой области;11;BCC_B2;7;0.24216405498441124;24.216405498441123;1152.1390363578817;878.9890363578817
Граница фазовой области;12;NIAL;1;0.3000000000005559;30.00000000005559;1786.06713280142;1512.91713280142
Граница фазовой области;12;NIAL;2;0.29800000004820903;29.8000000048209;1782.5455556588627;1509.3955556588626
Граница фазовой области;12;NIAL;3;0.2940000000975932;29.40000000975932;1775.4322806900514;1502.2822806900513
Граница фазовой области;12;NIAL;4;0.286000000187723;28.6000000187723;1760.9694500955288;1487.8194500955287
Граница фазовой области;12;NIAL;5;0.2700000000004258;27.00000000004258;1731.44485595577;1458.29485595577
Граница фазовой области;12;NIAL;6;0.25000000000623834;25.000000000623835;1694.3352315316065;1421.1852315316064
Граница фазовой области;12;NIAL;7;0.22999999999705292;22.99999999970529;1658.0079867064255;1384.8579867064254
Граница фазовой области;12;NIAL;8;0.2190344291582364;21.90344291582364;1638.6391486405832;1365.4891486405832
Граница фазовой области;13;BCC_B2;1;0.17728421092300534;17.728421092300533;924.3918105430915;651.2418105430916
Граница фазовой области;13;BCC_B2;2;0.17778543777512282;17.778543777512283;929.3918105430915;656.2418105430916
Граница фазовой области;13;BCC_B2;3;0.1788329321414248;17.88329321414248;939.3918105430915;666.2418105430916
Граница фазовой области;13;BCC_B2;4;0.18110943087555786;18.110943087555786;959.3918105430915;686.2418105430916
Граница фазовой области;13;BCC_B2;5;0.1863992990448562;18.63992990448562;999.3918105430915;726.2418105430916
Граница фазовой области;13;BCC_B2;6;0.19441318376753683;19.44131837675368;1049.3918105430917;776.2418105430917
Граница фазовой области;13;BCC_B2;7;0.20398174766830118;20.398174766830117;1099.3918105430917;826.2418105430917
Граница фазовой области;13;BCC_B2;8;0.2150501251046265;21.505012510462652;1149.3918105430917;876.2418105430917
Граница фазовой области;13;BCC_B2;9;0.22070497828568836;22.070497828568836;1172.7437839248073;899.5937839248073
Граница фазовой области;14;FCC_A1;1;0.17728417660532503;17.728417660532504;924.3918105430915;651.2418105430916
Граница фазовой области;14;FCC_A1;2;0.1772858117170512;17.72858117170512;929.3918105430915;656.2418105430916
Граница фазовой области;14;FCC_A1;3;0.17725756218517547;17.725756218517546;939.3918105430915;666.2418105430916
Граница фазовой области;14;FCC_A1;4;0.17704203085174766;17.704203085174765;959.3918105430915;686.2418105430916
Граница фазовой области;14;FCC_A1;5;0.1752536709050068;17.52536709050068;999.3918105430915;726.2418105430916
Граница фазовой области;14;FCC_A1;6;0.22070497824049543;22.070497824049543;1172.7437839248073;899.5937839248073
Граница фазовой области;15;FCC_A1;1;0.17728417661152712;17.72841766115271;924.3918105430915;651.2418105430916
Граница фазовой области;15;FCC_A1;2;0.17802177739892677;17.802177739892677;929.3918105430915;656.2418105430916
Граница фазовой области;15;FCC_A1;3;0.17952269643122165;17.952269643122165;939.3918105430915;666.2418105430916
Граница фазовой области;15;FCC_A1;4;0.182623142772103;18.2623142772103;959.3918105430915;686.2418105430916
Граница фазовой области;15;FCC_A1;5;0.18918008925453655;18.918008925453655;999.3918105430915;726.2418105430916
Граница фазовой области;15;FCC_A1;6;0.19791394542789498;19.791394542789497;1049.3918105430917;776.2418105430917
Граница фазовой области;15;FCC_A1;7;0.20704168443079451;20.704168443079453;1099.3918105430917;826.2418105430917
Граница фазовой области;15;FCC_A1;8;0.21634755901182393;21.63475590118239;1149.3918105430917;876.2418105430917
Граница фазовой области;15;FCC_A1;9;0.22070497824030771;22.07049782403077;1172.7437839248073;899.5937839248073
Граница фазовой области;16;GAMMA_PRIME;1;0.17261539830336442;17.261539830336442;1634.2222488385219;1361.0722488385218
Граница фазовой области;16;GAMMA_PRIME;2;0.17461519792958285;17.461519792958285;1634.3663832782972;1361.2163832782971
