Параметр;Значение
База;Никелевые сплавы — mc_ni 2.036
Элемент-основа;NI
Изменяемый элемент;AL
Постоянные добавки;CR=8 ат.%
Единицы состава;атомные %
Состав от, ат.%;0.0
Состав до, ат.%;30.0
Шаг состава, ат.%;2.0
Температура от, °C;625.0
Температура до, °C;1625.0
Шаг температуры, °C;50.0
Давление, Па;101325.0
Выбор фаз;Автоматически
Набор фаз;Набор фаз: быстрый (14 из 18)
Фазы в расчёте;BCC_B2, DELTA, ETA, FCC_A1, GAMMA_DP, GAMMA_PRIME, HCP_A3, LAVES, LAV_C14, LIQUID, NI2CR, NIAL, SIGMA, TIB2
Режим стали;не применяется
