замер;тема;экран / элемент;величина;значение;кадр
первый экран;светлая;Расчёты / Одна температура;«Рассчитать равновесие»: низ кнопки, px (окно 900);593 — да;pervyi_01_svet.png
первый экран;светлая;Расчёты / Температурный диапазон;«Построить график по температуре»: низ кнопки, px (окно 900);654 — да;pervyi_02_svet.png
первый экран;светлая;Расчёты / Изменение состава;«Построить график по составу»: низ кнопки, px (окно 900);888 — да;pervyi_03_svet.png
первый экран;светлая;Диаграммы / Бинарная T–X;«Построить диаграмму состояния»: низ кнопки, px (окно 900);888 — да;pervyi_04_svet.png
первый экран;светлая;Диаграммы / Многокомпонентное T–X;«Построить многокомпонентное сечение»: низ кнопки, px (окно 900);888 — да;pervyi_05_svet.png
первый экран;светлая;Диаграммы / Тройная при T = const;«Построить тройную диаграмму»: низ кнопки, px (окно 900);888 — да;pervyi_06_svet.png
первый экран;светлая;Диаграммы / Карта доли фазы;«Построить карту доли фазы»: низ кнопки, px (окно 900);888 — да;pervyi_07_svet.png
первый экран;светлая;Затвердевание;«Рассчитать затвердевание»: низ кнопки, px (окно 900);888 — да;pervyi_08_svet.png
первый экран;светлая;Энергии / Энергии фаз;«Рассчитать энергии фаз»: низ кнопки, px (окно 900);888 — да;pervyi_09_svet.png
первый экран;светлая;Энергии / Движущая сила;«Рассчитать движущую силу»: низ кнопки, px (окно 900);888 — да;pervyi_10_svet.png
первый экран;светлая;Энергии / T₀;«Рассчитать T₀»: низ кнопки, px (окно 900);888 — да;pervyi_11_svet.png
первый экран;светлая;Свойства / Плотность;«Рассчитать плотность и объёмные доли»: низ кнопки, px (окно 900);759 — да;pervyi_12_svet.png
первый экран;светлая;Свойства / Плотность по T;«Построить плотность по температуре»: низ кнопки, px (окно 900);759 — да;pervyi_13_svet.png
первый экран;светлая;Свойства / Упругие свойства;«Получить фазовые доли»: низ кнопки, px (окно 900);825 — да;pervyi_14_svet.png
первый экран;светлая;Свойства / Вклады упрочнения;«Рассчитать вклады»: низ кнопки, px (окно 900);847 — да;pervyi_15_svet.png
первый экран;светлая;Кинетика / Диффузия и гомогенизация / Однофазная пара;«Рассчитать однофазную диффузию»: низ кнопки, px (окно 900);888 — да;pervyi_17_svet.png
первый экран;светлая;Кинетика / Диффузия и гомогенизация / Многофазная гомогенизация;«Рассчитать гомогенизацию»: низ кнопки, px (окно 900);888 — да;pervyi_18_svet.png
первый экран;светлая;Кинетика / Выделения;«Рассчитать кинетику выделений»: низ кнопки, px (окно 900);888 — да;pervyi_20_svet.png
первый экран;светлая;Проекты и данные / Марки и составы;«Сохранить текущий состав»: низ кнопки, px (окно 900);974 — нет;pervyi_21_svet.png
первый экран;светлая;Проекты и данные / Проекты и история;«Сохранить проект в папке ThermoGar»: низ кнопки, px (окно 900);906 — нет;pervyi_23_svet.png
первый экран;светлая;Проекты и данные / Проверка установки;«Проверить базы и запустить три контрольных расчёта»: низ кнопки, px (окно 900);888 — да;pervyi_27_svet.png
первый экран;светлая;итого (ni);основная кнопка на первом экране, экранов из 21;19 из 21;
первый экран;тёмная;Расчёты / Одна температура;«Рассчитать равновесие»: низ кнопки, px (окно 900);593 — да;pervyi_01_tyomn.png
первый экран;тёмная;Расчёты / Температурный диапазон;«Построить график по температуре»: низ кнопки, px (окно 900);654 — да;pervyi_02_tyomn.png
первый экран;тёмная;Расчёты / Изменение состава;«Построить график по составу»: низ кнопки, px (окно 900);888 — да;pervyi_03_tyomn.png
первый экран;тёмная;Диаграммы / Бинарная T–X;«Построить диаграмму состояния»: низ кнопки, px (окно 900);888 — да;pervyi_04_tyomn.png
первый экран;тёмная;Диаграммы / Многокомпонентное T–X;«Построить многокомпонентное сечение»: низ кнопки, px (окно 900);888 — да;pervyi_05_tyomn.png
первый экран;тёмная;Диаграммы / Тройная при T = const;«Построить тройную диаграмму»: низ кнопки, px (окно 900);888 — да;pervyi_06_tyomn.png
первый экран;тёмная;Диаграммы / Карта доли фазы;«Построить карту доли фазы»: низ кнопки, px (окно 900);888 — да;pervyi_07_tyomn.png
первый экран;тёмная;Затвердевание;«Рассчитать затвердевание»: низ кнопки, px (окно 900);888 — да;pervyi_08_tyomn.png
первый экран;тёмная;Энергии / Энергии фаз;«Рассчитать энергии фаз»: низ кнопки, px (окно 900);888 — да;pervyi_09_tyomn.png
первый экран;тёмная;Энергии / Движущая сила;«Рассчитать движущую силу»: низ кнопки, px (окно 900);888 — да;pervyi_10_tyomn.png
первый экран;тёмная;Энергии / T₀;«Рассчитать T₀»: низ кнопки, px (окно 900);888 — да;pervyi_11_tyomn.png
первый экран;тёмная;Свойства / Плотность;«Рассчитать плотность и объёмные доли»: низ кнопки, px (окно 900);759 — да;pervyi_12_tyomn.png
первый экран;тёмная;Свойства / Плотность по T;«Построить плотность по температуре»: низ кнопки, px (окно 900);759 — да;pervyi_13_tyomn.png
первый экран;тёмная;Свойства / Упругие свойства;«Получить фазовые доли»: низ кнопки, px (окно 900);825 — да;pervyi_14_tyomn.png
первый экран;тёмная;Свойства / Вклады упрочнения;«Рассчитать вклады»: низ кнопки, px (окно 900);847 — да;pervyi_15_tyomn.png
первый экран;тёмная;Кинетика / Диффузия и гомогенизация / Однофазная пара;«Рассчитать однофазную диффузию»: низ кнопки, px (окно 900);888 — да;pervyi_17_tyomn.png
первый экран;тёмная;Кинетика / Диффузия и гомогенизация / Многофазная гомогенизация;«Рассчитать гомогенизацию»: низ кнопки, px (окно 900);888 — да;pervyi_18_tyomn.png
первый экран;тёмная;Кинетика / Выделения;«Рассчитать кинетику выделений»: низ кнопки, px (окно 900);888 — да;pervyi_20_tyomn.png
первый экран;тёмная;Проекты и данные / Марки и составы;«Сохранить текущий состав»: низ кнопки, px (окно 900);974 — нет;pervyi_21_tyomn.png
первый экран;тёмная;Проекты и данные / Проекты и история;«Сохранить проект в папке ThermoGar»: низ кнопки, px (окно 900);906 — нет;pervyi_23_tyomn.png
первый экран;тёмная;Проекты и данные / Проверка установки;«Проверить базы и запустить три контрольных расчёта»: низ кнопки, px (окно 900);888 — да;pervyi_27_tyomn.png
первый экран;тёмная;итого (ni);основная кнопка на первом экране, экранов из 21;19 из 21;
Бинарная T–X ni;светлая;строка кнопки, по умолчанию;"position; верх–низ строки, px; подписи";"sticky; 830–900; —";binarnaya_ni_nachalo_svet.png
Бинарная T–X ni;светлая;строка кнопки, «Шаг по температуре, °C» = 20;"position; верх–низ строки, px; подписи";"sticky; 789–900; Не по умолчанию: Шаг по температуре, °C.";binarnaya_ni_shag20_nachalo_svet.png
Бинарная T–X ni;тёмная;строка кнопки, по умолчанию;"position; верх–низ строки, px; подписи";"sticky; 830–900; —";binarnaya_ni_nachalo_tyomn.png
Бинарная T–X ni;тёмная;строка кнопки, «Шаг по температуре, °C» = 20;"position; верх–низ строки, px; подписи";"sticky; 789–900; Не по умолчанию: Шаг по температуре, °C.";binarnaya_ni_shag20_nachalo_tyomn.png
неактивная кнопка;светлая;«Вклады упрочнения», пусто;"«Рассчитать вклады»: неактивна; подпись под кнопкой";"да; Укажите источник и область применимости всех коэффициентов.";vklady_pusto_svet.png
неактивная кнопка;светлая;«Вклады упрочнения», источник без галочки;"«Рассчитать вклады»: неактивна; подпись под кнопкой";"да; Подтвердите область применимости введённых коэффициентов.";vklady_istochnik_bez_galochki_svet.png
неактивная кнопка;светлая;«Упругие свойства», шаг 2;"«Рассчитать Voigt–Reuss–Hill»: неактивна; подпись под кнопкой";"да; Не заданы E и ν для фаз: FCC_A1, GAMMA_PRIME.";uprugie_shag2_svet.png
неактивная кнопка;тёмная;«Вклады упрочнения», пусто;"«Рассчитать вклады»: неактивна; подпись под кнопкой";"да; Укажите источник и область применимости всех коэффициентов.";vklady_pusto_tyomn.png
неактивная кнопка;тёмная;«Вклады упрочнения», источник без галочки;"«Рассчитать вклады»: неактивна; подпись под кнопкой";"да; Подтвердите область применимости введённых коэффициентов.";vklady_istochnik_bez_galochki_tyomn.png
неактивная кнопка;тёмная;«Упругие свойства», шаг 2;"«Рассчитать Voigt–Reuss–Hill»: неактивна; подпись под кнопкой";"да; Не заданы E и ν для фаз: FCC_A1, GAMMA_PRIME.";uprugie_shag2_tyomn.png
умолчание 5;светлая;Расчёты / Температурный диапазон (fe);"время расчёта, с; плитки результата";"15.5; —";umolch_temperaturnyi_fe_svet.png
умолчание 5;светлая;Свойства / Плотность по T (fe);"время расчёта, с; плитки результата";"18.5; —";umolch_plotnost_t_fe_svet.png
умолчание 15Б;светлая;Свойства / Плотность по T (al);"время расчёта, с; плитки результата";"30.3; —";umolch_plotnost_t_al_svet.png
умолчание 6;светлая;Расчёты / Изменение состава (fe);"время расчёта, с; плитки результата";"13.3; —";umolch_sostav_fe_svet.png
умолчание 7;светлая;Расчёты / Изменение состава (al);"время расчёта, с; плитки результата";"12.1; —";umolch_sostav_al_svet.png
умолчание 8Б;светлая;Диаграммы / Многокомпонентное T–X (ni);"время расчёта, с; плитки результата";"50.3; —";umolch_mnogokomp_ni_svet.png
умолчание 9, 16Б;светлая;Кинетика / Диффузия и гомогенизация / Многофазная гомогенизация (ni);"время расчёта, с; плитки результата";"77.5; Время выдержки, ч = 100; Макс. ошибка баланса, u-доля = 6.000e-08";umolch_gomogenizaciya_ni_svet_ch1.png, umolch_gomogenizaciya_ni_svet_ch2.png
умолчание 5;тёмная;Расчёты / Температурный диапазон (fe);"время расчёта, с; плитки результата";"15.6; —";umolch_temperaturnyi_fe_tyomn.png
умолчание 5;тёмная;Свойства / Плотность по T (fe);"время расчёта, с; плитки результата";"18.2; —";umolch_plotnost_t_fe_tyomn.png
умолчание 15Б;тёмная;Свойства / Плотность по T (al);"время расчёта, с; плитки результата";"28.2; —";umolch_plotnost_t_al_tyomn.png
умолчание 6;тёмная;Расчёты / Изменение состава (fe);"время расчёта, с; плитки результата";"12.1; —";umolch_sostav_fe_tyomn.png
умолчание 7;тёмная;Расчёты / Изменение состава (al);"время расчёта, с; плитки результата";"11.2; —";umolch_sostav_al_tyomn.png
умолчание 8Б;тёмная;Диаграммы / Многокомпонентное T–X (ni);"время расчёта, с; плитки результата";"50.5; —";umolch_mnogokomp_ni_tyomn.png
умолчание 9, 16Б;тёмная;Кинетика / Диффузия и гомогенизация / Многофазная гомогенизация (ni);"время расчёта, с; плитки результата";"77.8; Время выдержки, ч = 100; Макс. ошибка баланса, u-доля = 6.000e-08";umolch_gomogenizaciya_ni_tyomn_ch1.png, umolch_gomogenizaciya_ni_tyomn_ch2.png
подписи 13;светлая;Затвердевание, «Точность и критерии»;подписи с «(0.0001–5)»;Scheil: остановить при остатке расплава, % (0.0001–5) | Порог появления фазы, % (0.0001–5);zatverdevanie_tochnost_svet.png
подписи 13;тёмная;Затвердевание, «Точность и критерии»;подписи с «(0.0001–5)»;Scheil: остановить при остатке расплава, % (0.0001–5) | Порог появления фазы, % (0.0001–5);zatverdevanie_tochnost_tyomn.png
кольцо фокуса;светлая;основная кнопка «Рассчитать однофазную диффузию»;"кольцо по пикселям : окно; box-shadow";"#1F60C1 : #F8F8F9 = 5.65:1; rgb(31, 96, 193) 0px 0px 0px 3.6px";kolco_knopka_pokoi_svet.png, kolco_knopka_fokus_svet.png
кольцо фокуса;светлая;переключатель, «Однофазная пара»;"кольцо по пикселям : окно; box-shadow";"#1F60C1 : #F8F8F9 = 5.65:1; rgb(31, 96, 193) 0px 0px 0px 3.6px";kolco_pereklyuchatel_pokoi_svet.png, kolco_pereklyuchatel_fokus_svet.png
кольцо фокуса;тёмная;основная кнопка «Рассчитать однофазную диффузию»;"кольцо по пикселям : окно; box-shadow";"#5C97E8 : #17181B = 5.96:1; rgb(92, 151, 232) 0px 0px 0px 3.6px";kolco_knopka_pokoi_tyomn.png, kolco_knopka_fokus_tyomn.png
кольцо фокуса;тёмная;переключатель, «Однофазная пара»;"кольцо по пикселям : окно; box-shadow";"#5C97E8 : #17181B = 5.96:1; rgb(92, 151, 232) 0px 0px 0px 3.6px";kolco_pereklyuchatel_pokoi_tyomn.png, kolco_pereklyuchatel_fokus_tyomn.png
кольцо фокуса, обход Tab;светлая;5 экранов, до правки;остановок фокуса по классу кольца;"drugoi 3; net 21; primary_poluprozrachnyi 28";fokus_do_svodka.csv
кольцо фокуса, обход Tab;тёмная;5 экранов, до правки;остановок фокуса по классу кольца;"drugoi 3; net 21; primary_poluprozrachnyi 28";fokus_do_svodka.csv
кольцо фокуса, обход Tab;светлая;5 экранов, после правки;остановок фокуса по классу кольца;"drugoi 3; net 21; primary_sploshnoi 28";fokus_posle_svodka.csv
кольцо фокуса, обход Tab;тёмная;5 экранов, после правки;остановок фокуса по классу кольца;"drugoi 3; net 21; primary_sploshnoi 28";fokus_posle_svodka.csv
умолчание 8Б (AppTest);—;Диаграммы / Многокомпонентное T–X (ni);"время, с; линий границ; узлов; фазы линий";"48.1; 38; 1; BCC_B2, FCC_A1, GAMMA_PRIME, LIQUID, NIAL";umolch8/umolch8_ni.png
