№;выгрузка (раздел · кнопка · файл);лист / член архива;заголовок сейчас;как строится;построение, файл:строка;запись выгрузки, файл:строка;после;на экране, файл:строка;тесты tools, файл:строка;решение
1;Расчёты · одна температура · «Скачать результат в Excel» · ThermoGar_equilibrium.xlsx;лист «Составы фаз ат»;NI, ат.% | AL, ат.% | CR, ат.%;"f-строка из имени элемента f""{element}, ат.%""";"app/ThermoGar_app.py:1079 (ni, al); app/ThermoGar_app.py:3372 (fe)";"dataframe_to_excel app/ThermoGar_app.py:7683–7692; кнопка app/ThermoGar_app.py:7694";Ni, ат.% | Al, ат.% | Cr, ат.%;app/ThermoGar_app.py:7677–7681 (element_columns_for_display);tools/test_ui_f.py:324–326 (только имя листа);менять
2;то же · ThermoGar_equilibrium.xlsx;лист «Составы фаз мас»;NI, мас.% | CR, мас.% | C, мас.%;"f-строка f""{element}, мас.%""";"app/ThermoGar_app.py:1085 (ni, al); app/ThermoGar_app.py:3375 (fe)";"dataframe_to_excel app/ThermoGar_app.py:7683–7692; кнопка app/ThermoGar_app.py:7694";Ni, мас.% | Cr, мас.% | C, мас.%;app/ThermoGar_app.py:7677–7681;tools/test_ui_f.py:324 (число листов);менять
3;Расчёты · по составу · «Скачать Excel» · ThermoGar_concentration_scan.xlsx;лист «Концентрационный расчёт»;AL, атомные % (или AL, массовые %);"f-строка x_column = f""{variable_element}, {units_label}"" → первый столбец";"app/ThermoGar_app.py:8216; столбец app/ThermoGar_app.py:3562";"dataframe_to_excel app/ThermoGar_app.py:8340–8346; кнопка app/ThermoGar_app.py:8355";Al, атомные %;app/ThermoGar_app.py:8333–8337;tools/test_ui_f.py:387 (число листов);менять
4;то же · «Скачать CSV» · ThermoGar_concentration_scan.csv;строка заголовка CSV;AL, атомные %;то же;app/ThermoGar_app.py:8216;"to_csv app/ThermoGar_app.py:8347–8349; кнопка app/ThermoGar_app.py:8366";Al, атомные %;app/ThermoGar_app.py:8333–8337;tools/test_ui_f.py:388 (CSV не пуст);менять
5;Диаграммы · тройная при T = const · «Скачать Excel» · ThermoGar_ternary_diagram.xlsx;лист «Границы и узлы»;X(NI) | NI, ат.% | X(AL) | AL, ат.% | X(CR) | CR, ат.%;"f-строки f""X({x_element})"", f""{x_element}, ат.%""";app/ThermoGar_app.py:6500–6505;"dataframe_to_excel app/ThermoGar_app.py:9604–9609; кнопка app/ThermoGar_app.py:9614";X(Ni) | Ni, ат.% | X(Al) | Al, ат.% | X(Cr) | Cr, ат.%;app/ThermoGar_app.py:9598–9602;tools/test_ui_f.py:772 (число листов);менять
6;Диаграммы · карта доли фазы · «Скачать Excel» · ThermoGar_ternary_phase_map.xlsx;лист «Расчётная сетка»;NI, доля на карте | AL, доля на карте | NI, % на карте | CR, % на карте | NI, ат.%;f-строки из имён элементов;app/ThermoGar_app.py:6667–6679;"dataframe_to_excel app/ThermoGar_app.py:10156–10162; кнопка app/ThermoGar_app.py:10170";Ni, доля на карте | Al, % на карте | Cr, ат.%;app/ThermoGar_app.py:10150–10154;tools/test_ui_f.py:788 (число листов);"менять; столбец «{фаза}, мольная доля, %» (:6734) не менять"
7;то же · «Скачать CSV» · ThermoGar_ternary_phase_map.csv;строка заголовка CSV;как в строке 6;то же;app/ThermoGar_app.py:6667–6679;"to_csv app/ThermoGar_app.py:10163–10165; кнопка app/ThermoGar_app.py:10180";как в строке 6;app/ThermoGar_app.py:10150–10154;tools/test_ui_f.py:790 (CSV не пуст);менять
8;Затвердевание · «Скачать Excel» · ThermoGar_solidification.xlsx;листы «Равновес расплав», «Scheil расплав»;NI, ат.% | NI, мас.% | CR, ат.%;"f-строки f""{element}, ат.%"", f""{element}, мас.%""";app/ThermoGar_app.py:4616, :4619;"solidification_excel_bytes → dataframe_to_excel app/ThermoGar_app.py:5338–5340; кнопка app/ThermoGar_app.py:10979";Ni, ат.% | Ni, мас.% | Cr, ат.%;app/ThermoGar_app.py:10945–10949;tools/test_ui_f.py:440 (число листов);менять
9;то же · «Скачать полный архив, ZIP» · ThermoGar_solidification_results.zip;"члены equilibrium_liquid_composition.csv, scheil_liquid_composition.csv; вложенный ThermoGar_solidification.xlsx";NI, ат.% | NI, мас.%;то же;app/ThermoGar_app.py:4616, :4619;"to_csv app/ThermoGar_app.py:5375–5380; xlsx app/ThermoGar_app.py:5352–5355; кнопка app/ThermoGar_app.py:10994";Ni, ат.% | Ni, мас.%;app/ThermoGar_app.py:10945–10949;tools/test_ui_f.py:442 (только признак ZIP);"менять; имена членов архива без символов"
10;Затвердевание · Excel и xlsx в ZIP;листы «Равновес raw», «Scheil raw»;X(FCC_A1,CR) | X(LIQUID,NI) | NP(FCC_A1);столбцы пакета scheil: result.to_dataframe();app/ThermoGar_app.py:4567–4576;dataframe_to_excel app/ThermoGar_app.py:5339–5340;без изменений;на экране нет;нет;"не менять: сырая таблица пакета, английские заголовки; element_column_label (thermogar_user_errors.py:92) эту форму не берёт"
