C, мас.%;T₀, °C;T₀, K;Решение найдено
0.0;911.6979798303781;1184.847979830378;True
0.1;801.3395619664292;1074.4895619664292;True
0.2;735.8921189537037;1009.0421189537037;True
0.3;1563.1034252189206;1836.2534252189205;True
0.4;1589.3235223485685;1862.4735223485686;True
0.5;1609.98631329615;1883.13631329615;True
0.6;1626.7943189382427;1899.9443189382428;True
0.7;1640.8065514964715;1913.9565514964713;True
0.8;1652.6360630128638;1925.786063012864;True
0.9;1662.8692858543845;1936.0192858543846;True
1.0;1671.7788971114774;1944.9288971114772;True
1.1;1679.6458386472946;1952.7958386472944;True
1.2;1686.6326898254538;1959.7826898254539;True
1.3;1692.89675218407;1966.0467521840699;True
1.4;1698.5632945683924;1971.7132945683925;True
1.5;;;False
1.6;;;False
1.7;;;False
1.8;;;False
1.9;;;False
2.0;;;False
