случай;группа;функция (tools/tab_snapshot.py:строка);ключи виджетов и кнопок, которые задаёт случай;ключи в коде wave21-m;karkas.txt;ekran и числа;vygruzki;texts.txt;что изменится в снимке
(общее) все случаи;—;—;—;—;"Все вкладки исполняются в каждом случае. 21-М: 42 поля — внутри раскрытие[Точность и критерии], раскрытие[Управление фазами / метастабильный расчёт], раскрытие[Параметры модели] (на отрисованных видах); «Рассчитать вклады» — disabled=True и подпись «Укажите источник и область применимости всех коэффициентов.»; подписи 13Б «(0.0001–5)»; строки tg_action_* — контейнеры без сегмента пути, в karkas не видны. 21-И: у «Диффузии», «Выделений», «Затвердевания» отрисован только выбранный вид.";"sostoyanie/<прил>.json — новые умолчания виджетов базы (см. строки ni, fe, al).";—;"Без изменений: подписи «Не по умолчанию» и причины неактивности — st.caption, в texts.txt не пишутся.";karkas, sostoyanie
(общее) база ni;—;—;—;—;"Умолчание 8: «Многокомпонентное T–X» — Cr=8, Al 0–30 шаг 2, 625–1625 °C шаг 50. Умолчание 9 (FCC_A1 + NIAL) — только на виде «Многофазная гомогенизация», по умолчанию не отрисован.";—;—;—;karkas
(общее) база fe;—;—;—;—;"Умолчания 5 и 6: «Температурный диапазон» и «Плотность по T» 500 / 900 / 100, «Изменение состава» C 0.1 / 0.5 / 0.1. 21-О: окно T₀ по умолчанию 200–950 °C (1Б), выдержка «Выделений» 0.01 ч (2В). Если 21-О заведёт для окна T₀ новый ключ — меняется и ключ.";—;—;—;karkas
(общее) база al;—;—;—;—;"Умолчание 7: «Изменение состава» Cu 1 / 5 / 1.";—;—;—;karkas
f_startup_ni;А;571 case_f_startup;"thermogar_database_key, thermogar_composition_ni, thermogar_units_ni, thermogar_balance_ni (sidebar_state :527)";да;"общее + ni";без изменений;нет выгрузок;без изменений;karkas
f_startup_al;А;571 case_f_startup;"то же, база al";да;"общее + al";без изменений;нет выгрузок;без изменений;karkas
f_startup_fe;А;571 case_f_startup;"то же, база fe";да;"общее + fe";без изменений;нет выгрузок;без изменений;karkas
f_single_ni;А;575 case_f_single;"+ single_temperature_ni = 700, click single_calculate";да;"общее + ni";без изменений;"12Б: ThermoGar_equilibrium.xlsx, листы «Составы фаз ат/мас» — «Ni, ат.%» вместо «NI, ат.%» (21-Н, строки 1–2)";без изменений;karkas, vygruzki
f_single_al;А;575 case_f_single;"+ single_temperature_al = 500, click single_calculate";да;"общее + al";без изменений;"12Б: то же («Al, мас.%», «Cu, мас.%»)";без изменений;karkas, vygruzki
f_single_fe;А;575 case_f_single;"+ single_temperature_fe = 700, click single_calculate";да;"общее + fe";без изменений;"12Б: то же («Fe», «Cr», «C»)";без изменений;karkas, vygruzki
