№ строки описи 21-П;файл:строка до;файл:строка после;было (до 200 знаков);стало (до 200 знаков)
1;docs/guide/01-raschety.md:74–75;docs/guide/01-raschety.md:74–75;…дите на **«Температурный диапазон»** и поставьте **От 500**, **До 900**, **Шаг 100 °C**. Пять точек для стали считаются примерно полминуты.;…дите на **«Температурный диапазон»** и проверьте: у стали **От 500**, **До 900**, **Шаг 100 °C** стоят по умолчанию. Пять точек для стали считаются примерно полминуты.
попутно;docs/guide/01-raschety.md:89–90;docs/guide/01-raschety.md:89–90;Под таблицей три кнопки: **Excel**, **CSV**, **PNG**. Excel содержит три листа — параметры расчёта (включая контрольную сумму базы), сами числа и протокол проверок.;Под таблицей три кнопки: **«Скачать Excel»**, **«Скачать CSV»**, **«Скачать PNG»**. Excel содержит три листа — параметры расчёта (включая контрольную сумму базы), сами числа и протокол проверок.
2;docs/guide/02-diagrammy.md:21–23;docs/guide/02-diagrammy.md:21–24;Поставьте `AL: до` **35 %**, **шаг по составу 5 %**, температуру **от 600 до 1600 °C** с **шагом 50 °C**. Шаг — главный расход времени: на такой сетке диаграмма строится около полминуты, на шаге 10 °…;Поставьте **«Al: до, ат.%»** **35** (так и стоит по умолчанию), температуру **от 600 до 1600 °C**, **«Шаг по составу, ат.%»** **5** и **«Шаг по температуре, °C»** **50**. Оба шага — в свёрнутом блоке…
3;docs/guide/02-diagrammy.md:29–30;docs/guide/02-diagrammy.md:30–34;…те **«Построить диаграмму состояния»**. Если программа предупредила, что выбрано больше семи фаз, это не ошибка: расчёт пройдёт, но график будет плотнее.;…те **«Построить диаграмму состояния»**. Строка с кнопкой расчёта держится у нижнего края окна, пока форма не прокручена до её места, — так во всех разделах. Над кнопкой — подпись **«Не по умолчанию:…
4;docs/guide/03-zatverdevanie.md:25–27;docs/guide/03-zatverdevanie.md:25–28;…этого сплава, **шаг охлаждения 10 °C**. Если задать старт ниже ликвидуса, программа сама поднимет температуру до однофазного расплава и покажет, как она это сделала.;…этого сплава, **шаг охлаждения 10 °C**. Оба поля — в свёрнутом блоке **«Точность и критерии»**: раскройте его. Если задать старт ниже ликвидуса, программа сама поднимет температуру до однофазного ра…
5;docs/guide/03-zatverdevanie.md:33–36;docs/guide/03-zatverdevanie.md:34–37;Нажмите **«Рассчитать затвердевание»**. В **«Сводке»**: расчётный ликвидус 650,0 °C, окончание 529,7 °C. Для Шейля «окончание» — это момент, когда остаток расплава упал до заданного порога (по умолча…;Нажмите **«Рассчитать затвердевание»**. На варианте **«Сводка»** переключателя: расчётный ликвидус 650,0 °C, окончание 529,7 °C. Для Шейля «окончание» — это момент, когда остаток расплава упал до зад…
попутно;docs/guide/03-zatverdevanie.md:35;docs/guide/03-zatverdevanie.md:36;(по умолчанию 5 %), а не равновесный солидус: у неравновесной кристаллизации последние капли;заданного порога (по умолчанию 0,01 %), а не равновесный солидус: у неравновесной кристаллизации
6;docs/guide/03-zatverdevanie.md:44–45;docs/guide/03-zatverdevanie.md:45–46;…междендритные интерметаллиды. Их список — на подвкладке **«Твёрдые фазы»**.;…междендритные интерметаллиды. Их список — на варианте **«Твёрдые фазы»** переключателя.
8;docs/guide/04-energii.md:13–15;docs/guide/04-energii.md:13–17;…относительно состояния, в котором γ′ ещё нет.;…относительно состояния, в котором γ′ ещё нет. По умолчанию она включена. Галочка — в свёрнутом блоке **«Управление фазами / метастабильный расчёт»**: раскройте его.
9;docs/guide/04-energii.md:21–22;docs/guide/04-energii.md:23–25;…равновесия»** уберите лишнее и оставьте `FCC_A1`. Тогда результат — это выигрыш энергии при появлении γ′ в чистой γ-матрице, без вклада других фаз.;…равновесия»** уберите лишнее и оставьте `FCC_A1`. Поле — в том же свёрнутом блоке **«Управление фазами / метастабильный расчёт»**. Тогда результат — это выигрыш энергии при появлении γ′ в чистой γ-м…
