вариант;таблица;кадр светлый;кадр тёмный;кадры сортировки;кадр ввода;вид пустой ячейки;выравнивание чисел;вид чисел;сортировка щелчком;по возрастанию (столбец);по убыванию (столбец);скачивание с панели таблицы;файл скачивания (дословно);ввод 200 в E у FCC_A1;очистка E у BCC_A2;что вернул редактор (дословно)
a;как T₀: столбец «T₀, °C»;kadry/t0_a_svet.png;kadry/t0_a_tyomn.png;kadry/t0_a_svet_sort1.png, kadry/t0_a_svet_sort2.png;—;серое «None»;вправо;по умолчанию Streamlit: до 4 знаков, хвостовые нули убраны (702.4637);числовая;· | · | 98.70004 | 452.9 | 583.1172 | 702.463712;702.463712 | 583.1172 | 452.9 | 98.70004 | · | ·;исходные числа полностью, пусто — пустое поле;"""C, мас.%"",""T₀, °C"",""T₀, K"",Решение найдено ⏎ 0.2,702.463712,975.613712,true ⏎ 0.6,583.1172,856.2672,true ⏎ 1,452.9,726.05,true ⏎ 1.4,98.70004,371.85004,true ⏎ 1.8,,,false ⏎ 2,,,false";—;—;—
a2;как T₀: столбец «T₀, °C»;kadry/t0_a2_svet.png;kadry/t0_a2_tyomn.png;kadry/t0_a2_svet_sort1.png, kadry/t0_a2_svet_sort2.png;—;серое «None» (na_rep не действует);вправо;формат Styler: 6 знаков (0.200000, 702.463712);числовая;· | · | 98.70004 | 452.9 | 583.1172 | 702.463712;702.463712 | 583.1172 | 452.9 | 98.70004 | · | ·;исходные числа полностью (Styler не влияет), пусто — пустое поле;"""C, мас.%"",""T₀, °C"",""T₀, K"",Решение найдено ⏎ 0.2,702.463712,975.613712,true ⏎ 0.6,583.1172,856.2672,true ⏎ 1,452.9,726.05,true ⏎ 1.4,98.70004,371.85004,true ⏎ 1.8,,,false ⏎ 2,,,false";—;—;—
b;как T₀: столбец «T₀, °C»;kadry/t0_b_svet.png;kadry/t0_b_tyomn.png;kadry/t0_b_svet_sort1.png, kadry/t0_b_svet_sort2.png;—;пустая ячейка;влево (столбец текстовый);текст в виде как в а (702.4637);по тексту: 98.7 после 702.4637;· | · | 452.9 | 583.1172 | 702.4637 | 98.7;98.7 | 702.4637 | 583.1172 | 452.9 | · | ·;текст как на экране (округлён до 4 знаков), пусто — пустое поле;"""C, мас.%"",""T₀, °C"",""T₀, K"",Решение найдено ⏎ 0.2,702.4637,975.6137,true ⏎ 0.6,583.1172,856.2672,true ⏎ 1,452.9,726.05,true ⏎ 1.4,98.7,371.85,true ⏎ 1.8,,,false ⏎ 2,,,false";—;—;—
c;как T₀: столбец «T₀, °C»;kadry/t0_c_svet.png;kadry/t0_c_tyomn.png;kadry/t0_c_svet_sort1.png, kadry/t0_c_svet_sort2.png;—;«—» обычным цветом, не серым;влево (столбец текстовый);текст в виде как в а (702.4637);по тексту: 98.7 после 702.4637;— | — | 452.9 | 583.1172 | 702.4637 | 98.7;98.7 | 702.4637 | 583.1172 | 452.9 | — | —;текст как на экране, в пустых — «—»;"""C, мас.%"",""T₀, °C"",""T₀, K"",Решение найдено ⏎ 0.2,702.4637,975.6137,true ⏎ 0.6,583.1172,856.2672,true ⏎ 1,452.9,726.05,true ⏎ 1.4,98.7,371.85,true ⏎ 1.8,—,—,false ⏎ 2,—,—,false";—;—;—
g0;как T₀: столбец «T₀, °C»;kadry/t0_g0_svet.png;kadry/t0_g0_tyomn.png;kadry/t0_g0_svet_sort1.png, kadry/t0_g0_svet_sort2.png;—;"пустая ячейка (placeholder="""")";вправо;как в а;числовая;· | · | 98.70004 | 452.9 | 583.1172 | 702.463712;702.463712 | 583.1172 | 452.9 | 98.70004 | · | ·;исходные числа полностью, пусто — пустое поле (placeholder в файл не идёт);"""C, мас.%"",""T₀, °C"",""T₀, K"",Решение найдено ⏎ 0.2,702.463712,975.613712,true ⏎ 0.6,583.1172,856.2672,true ⏎ 1,452.9,726.05,true ⏎ 1.4,98.70004,371.85004,true ⏎ 1.8,,,false ⏎ 2,,,false";—;—;—
g1;как T₀: столбец «T₀, °C»;kadry/t0_g1_svet.png;kadry/t0_g1_tyomn.png;kadry/t0_g1_svet_sort1.png, kadry/t0_g1_svet_sort2.png;—;"серое «—» (placeholder=""—"")";вправо;как в а;числовая;· | · | 98.70004 | 452.9 | 583.1172 | 702.463712;702.463712 | 583.1172 | 452.9 | 98.70004 | · | ·;исходные числа полностью, пусто — пустое поле (placeholder в файл не идёт);"""C, мас.%"",""T₀, °C"",""T₀, K"",Решение найдено ⏎ 0.2,702.463712,975.613712,true ⏎ 0.6,583.1172,856.2672,true ⏎ 1,452.9,726.05,true ⏎ 1.4,98.70004,371.85004,true ⏎ 1.8,,,false ⏎ 2,,,false";—;—;—
a;как «Упругие свойства» (st.data_editor): столбец «E, ГПа»;kadry/el_a_svet.png;kadry/el_a_tyomn.png;kadry/el_a_svet_sort1.png, kadry/el_a_svet_sort2.png;kadry/el_a_svet_vvod.png;серое «None»;вправо;по умолчанию Streamlit: до 4 знаков, хвостовые нули убраны (702.4637);числовая;· | · | 210;210 | · | ·;"исходные числа полностью, пусто — пустое поле; заголовки — ключи данных (young_gpa…), не подписи столбцов";phase,mole_fraction,volume_fraction,young_gpa,poisson,origin,source,reference_temperature_c,note ⏎ BCC_A2,78.123456,77.9,210,0.29,справочно,ASM Handbook,20, ⏎ FCC_A1,20.5,20.71,,,,,, ⏎ CEMENTITE,1.376544,1.39,,,,,,;принят: 200.0 (float64);ячейка снова серое «None», в данных NaN;young_gpa: [nan, 200.0, nan] dtype=float64 ⏎ poisson: [0.29, nan, nan] dtype=float64 ⏎ origin: ['справочно', nan, nan] dtype=str ⏎ reference_temperature_c: [20.0, nan, nan] dtype=float64
a2;как «Упругие свойства» (st.data_editor): столбец «E, ГПа»;kadry/el_a2_svet.png;kadry/el_a2_tyomn.png;kadry/el_a2_svet_sort1.png, kadry/el_a2_svet_sort2.png;kadry/el_a2_svet_vvod.png;серое «None» (Styler к редактору не применялся);вправо;как а;числовая;· | · | 210;210 | · | ·;"исходные числа полностью (Styler не влияет), пусто — пустое поле; заголовки — ключи данных (young_gpa…), не подписи столбцов";phase,mole_fraction,volume_fraction,young_gpa,poisson,origin,source,reference_temperature_c,note ⏎ BCC_A2,78.123456,77.9,210,0.29,справочно,ASM Handbook,20, ⏎ FCC_A1,20.5,20.71,,,,,, ⏎ CEMENTITE,1.376544,1.39,,,,,,;как а: Styler в st.data_editor действует только на нередактируемые столбцы (streamlit/elements/widgets/data_editor.py:813), в пробе для редактора а2 = а;как а;young_gpa: [nan, 200.0, nan] dtype=float64 ⏎ poisson: [0.29, nan, nan] dtype=float64 ⏎ origin: ['справочно', nan, nan] dtype=str ⏎ reference_temperature_c: [20.0, nan, nan] dtype=float64
b;как «Упругие свойства» (st.data_editor): столбец «E, ГПа»;kadry/el_b_svet.png;kadry/el_b_tyomn.png;kadry/el_b_svet_sort1.png, kadry/el_b_svet_sort2.png;kadry/el_b_svet_vvod.png;пустая ячейка;влево (столбец текстовый);текст в виде как в а (702.4637);по тексту;· | · | 210;210 | · | ·;"текст как на экране (округлён до 4 знаков), пусто — пустое поле; заголовки — ключи данных (young_gpa…), не подписи столбцов";phase,mole_fraction,volume_fraction,young_gpa,poisson,origin,source,reference_temperature_c,note ⏎ BCC_A2,78.1235,77.9,210,0.29,справочно,ASM Handbook,20, ⏎ FCC_A1,20.5,20.71,,,,,, ⏎ CEMENTITE,1.3765,1.39,,,,,,;принят строкой '200' (object);ячейка показывает серое «None», в данных None;young_gpa: [None, '200', ''] dtype=object ⏎ poisson: ['0.29', '', ''] dtype=object ⏎ origin: ['справочно', '', ''] dtype=object ⏎ reference_temperature_c: ['20', '', ''] dtype=object
c;как «Упругие свойства» (st.data_editor): столбец «E, ГПа»;kadry/el_c_svet.png;kadry/el_c_tyomn.png;kadry/el_c_svet_sort1.png, kadry/el_c_svet_sort2.png;kadry/el_c_svet_vvod.png;«—» обычным цветом, не серым;влево (столбец текстовый);текст в виде как в а (702.4637);по тексту;— | — | 210;210 | — | —;"текст как на экране, в пустых — «—»; заголовки — ключи данных (young_gpa…), не подписи столбцов";phase,mole_fraction,volume_fraction,young_gpa,poisson,origin,source,reference_temperature_c,note ⏎ BCC_A2,78.1235,77.9,210,0.29,справочно,ASM Handbook,20, ⏎ FCC_A1,20.5,20.71,—,—,—,—,—, ⏎ CEMENTITE,1.3765,1.39,—,—,—,—,—,;"принят строкой '200' (object); «—» в других строках остаётся в данных строкой '—'";ячейка показывает серое «None», в данных None;young_gpa: [None, '200', '—'] dtype=object ⏎ poisson: ['0.29', '—', '—'] dtype=object ⏎ origin: ['справочно', '—', '—'] dtype=object ⏎ reference_temperature_c: ['20', '—', '—'] dtype=object
