№ описи 21-С;файл;вызов;строка a68a417;строка 976e707;строка wave21-u;экран (опись 21-С);серое «None» возможно (опись 21-С)
1;app/ThermoGar_app.py;st.dataframe;1858;1865;1866;Свойства → Плотность, «Плотность при одной температуре»;нет
2;app/ThermoGar_app.py;st.dataframe;1886;1893;1894;Свойства → Плотность, «Плотность при одной температуре»;да — None (рядом с числами NaN)
3;app/ThermoGar_app.py;st.dataframe;1888;1895;1896;Свойства → Плотность (если есть фазы без данных PDB);"редко — None при total_mass ≤ 0; иначе только """""
4;app/ThermoGar_app.py;st.dataframe;2078;2085;2086;Свойства → Плотность по T;да — None / NaN
5;app/ThermoGar_app.py;st.dataframe;2145;2152;2153;Свойства → Покрытие физической базы, «Проверить чтение физической базы»;да — None / NaN (всегда в строке «Al, liquid model»)
6;app/ThermoGar_app.py;st.dataframe;2179;2186;2187;Свойства → Покрытие физической базы, «Обновить покрытие физической базы»;"нет — только """""
7;app/ThermoGar_app.py;st.data_editor;2322;2329;2330;Свойства → Упругие свойства, «Упругие свойства по фазовым долям», после «Получить фазовые доли»;да — None / NaN
8;app/ThermoGar_app.py;st.dataframe;2407;2414;2423;Свойства → Упругие свойства, после «Рассчитать Voigt–Reuss–Hill»;нет
9;app/ThermoGar_app.py;st.dataframe;2599;2606;2615;Свойства → Вклады упрочнения;нет
10;app/ThermoGar_app.py;st.data_editor;3059;3066;3075;Общий выбор фаз «Управление фазами / метастабильный расчёт», режим «Вручную»: Расчёты (3 вида), Диаграммы (4 вида), Затвердевание;"нет — только """""
11;app/ThermoGar_app.py;st.dataframe;7747;7757;7767;Расчёты → Одна температура («Равновесие при одной температуре»), блок «Фазовые доли»;"нет — только """""
12;app/ThermoGar_app.py;st.dataframe;7767;7777;7788;Расчёты → Одна температура, блок «Составы фаз» (атомные % / массовые %);"нет — только """""
13;app/ThermoGar_app.py;st.dataframe;8070;8080;8092;Расчёты → Температурный диапазон, таблица под графиком;нет
14;app/ThermoGar_app.py;st.dataframe;8459;8469;8482;Расчёты → Изменение состава, таблица под графиком;нет
15;app/ThermoGar_app.py;st.dataframe;8875;8885;8899;Диаграммы → Бинарная T–X, раскрывашка «Таблица рассчитанных границ»;"нет — только """""
16;app/ThermoGar_app.py;st.dataframe;9381;9391;9406;Диаграммы → Многокомпонентное T–X, раскрывашка «Таблица рассчитанных границ»;"нет — только """" (теоретически)"
17;app/ThermoGar_app.py;st.dataframe;9779;9789;9805;Диаграммы → Тройная при T = const, раскрывашка «Таблица рассчитанных границ и узлов»;нет
18;app/ThermoGar_app.py;st.dataframe;10342;10352;10369;Диаграммы → Карта доли фазы, раскрывашка «Точка максимума и сводка»;нет
19;app/ThermoGar_app.py;st.dataframe;10352;10362;10380;Диаграммы → Карта доли фазы, раскрывашка «Полная расчётная сетка»;да — NaN
20;app/ThermoGar_app.py;st.dataframe;11080;11090;11109;Затвердевание → Сводка, блок «Основные температуры»;да — NaN и None
21;app/ThermoGar_app.py;st.dataframe;11100;11110;11130;Затвердевание → Сводка → «Как проверялась начальная температура»;"нет — только """""
22;app/ThermoGar_app.py;st.dataframe;11138;11148;11169;Затвердевание → Твёрдые фазы, блок «Последовательность появления фаз»;"редко — NaN только от scheil; иначе """""
23;app/ThermoGar_app.py;st.dataframe;11144;11154;11176;Затвердевание → Твёрдые фазы, блок «Итоговые количества фаз»;"редко — NaN только от scheil; иначе """""
24;app/ThermoGar_app.py;st.dataframe;11150;11160;11183;Затвердевание → Твёрдые фазы → «Полная траектория расчёта»;редко — NaN только от scheil
25;app/ThermoGar_app.py;st.dataframe;11201;11211;11235;Затвердевание → Остаточный расплав;да — NaN
26;app/ThermoGar_app.py;st.dataframe;11483;11493;11518;Энергии → Энергии фаз, «Приближённые пересечения энергетических кривых»;нет
27;app/ThermoGar_app.py;st.dataframe;11491;11501;11527;Энергии → Энергии фаз → «Таблицы энергий», «Абсолютная энергия, Дж/моль»;да — NaN
28;app/ThermoGar_app.py;st.dataframe;11497;11507;11534;Энергии → Энергии фаз → «Таблицы энергий», «Энергия относительно минимума, Дж/моль»;да — NaN
29;app/ThermoGar_app.py;st.dataframe;11732;11742;11770;Энергии → Движущая сила, «Приближённая смена знака»;нет
30;app/ThermoGar_app.py;st.dataframe;11737;11747;11776;Энергии → Движущая сила, таблица под графиком;да — NaN
31;app/ThermoGar_app.py;st.dataframe;12026;12036;12066;Энергии → T₀, таблица под графиком;да — NaN
32;app/ThermoGar_app.py;st.dataframe;12492;12502;12533;Проекты и данные → Паспорт базы (не fe);нет
33;app/ThermoGar_app.py;st.dataframe;12504;12514;12546;Проекты и данные → Паспорт базы → «Технические сведения» (не fe);нет
34;app/ThermoGar_app.py;st.dataframe;12524;12534;12567;Проекты и данные → Паспорт базы (fe);нет (при null в манифесте — текст «None», не серый)
