№,группа t1_6b,вид места,файл:строка,вывод на экран сейчас,перехват в коде,откуда текст (класс исключения и где возбуждается),своё русское / чужое / смешанное,что останется на экране после внедрения,код ошибки рядом сейчас,«Технические сведения» рядом сейчас,примечание
1,1,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:1658,render_friendly_error,"except Exception as error (:1657), try :1639–1656","VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из verified_physical.execute_verified_physical (thermogar_verified_physical.py:64–65); BACKEND_FAILED несёт «{класс}: {текст движка}» (_backend_failure_detail, :532–540, :682–685); AssertionError без текста (:1640)",смешанное,"«{заголовок}

{подсказка}» из _friendly_error_text без текста исключения; своё русское сообщение (класс-признак) остаётся в подсказке; «Код ошибки: …» и «Технические сведения» — как сейчас",да,да,"в тексте движка может стоять и русская строка ThermoGar, и английская строка pycalphad"
2,1,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:1879,render_friendly_error,"except Exception as error (:1878), try :1810–1877","ValueError/RuntimeError с русским текстом ThermoGar (composition_fractions, buildable_phases); исключения pycalphad и numpy — скан идёт в движок напрямую (:1829–1835); VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209)",смешанное,"«{заголовок}

{подсказка}» из _friendly_error_text без текста исключения; своё русское сообщение (класс-признак) остаётся в подсказке; «Код ошибки: …» и «Технические сведения» — как сейчас",да,да,
3,1,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:1961,render_friendly_error,"except Exception as error (:1960), try :1951–1959","VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209): PDB_INVALID «Physical PDB parse failed: {класс}» (thermogar_verified_physical.py:612–613); AssertionError",чужое,"«{заголовок}

{подсказка}» из _friendly_error_text без текста исключения; своё русское сообщение (класс-признак) остаётся в подсказке; «Код ошибки: …» и «Технические сведения» — как сейчас",да,да,английский служебный текст ThermoGar
4,1,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:1994,render_friendly_error,"except Exception as error (:1993), try :1984–1992",как :1961,чужое,"«{заголовок}

{подсказка}» из _friendly_error_text без текста исключения; своё русское сообщение (класс-признак) остаётся в подсказке; «Код ошибки: …» и «Технические сведения» — как сейчас",да,да,английский служебный текст ThermoGar
5,7,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:2078,st.error(str(error)),"except Exception as error (:2075), try :2060–2074","ValueError с русским текстом parse_composition (ThermoGar_app.py:2418, 2423, 2430, 2460; у :2423 — repr-кавычки); VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из verified_properties.make_prepare_inputs",смешанное,"«Исходные данные для упругих свойств не приняты.» + своё русское сообщение, если оно есть + «Код ошибки: …» + «Технические сведения»",нет,нет,
6,1,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:2110,render_friendly_error,"except Exception as error (:2109), try :2093–2108","VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из execute_verified_properties: BACKEND_FAILED «{класс}» (thermogar_verified_properties.py:1209–1210), PDB_INVALID/PACKAGE_UNAVAILABLE «… parse failed: {класс}» (:1175–1182)",чужое,"«{заголовок}

{подсказка}» из _friendly_error_text без текста исключения; своё русское сообщение (класс-признак) остаётся в подсказке; «Код ошибки: …» и «Технические сведения» — как сейчас",да,да,английский служебный текст ThermoGar; до экрана доходит только имя класса исходной ошибки
7,1,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:2129,render_friendly_error,"except Exception as error (:2128), try :2122–2127","VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из verified_properties.property_library_prefill",чужое,"«{заголовок}

{подсказка}» из _friendly_error_text без текста исключения; своё русское сообщение (класс-признак) остаётся в подсказке; «Код ошибки: …» и «Технические сведения» — как сейчас",да,да,английский служебный текст ThermoGar
8,7,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:2172,st.error(str(error)),"except Exception as error (:2171), try :2158–2170","VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из verified_properties.make_vrh_inputs (INPUT_INVALID и др., английские детали)",чужое,«Таблица упругих свойств не принята. Проверьте E и ν каждой фазы.» + «Код ошибки: …» + «Технические сведения»,нет,нет,английский служебный текст ThermoGar
9,1,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:2197,render_friendly_error,"except Exception as error (:2196), try :2181–2195",как :2110,чужое,"«{заголовок}

{подсказка}» из _friendly_error_text без текста исключения; своё русское сообщение (класс-признак) остаётся в подсказке; «Код ошибки: …» и «Технические сведения» — как сейчас",да,да,английский служебный текст ThermoGar
10,1,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:2373,render_friendly_error,"except Exception as error (:2372), try :2362–2371",как :2110,чужое,"«{заголовок}

{подсказка}» из _friendly_error_text без текста исключения; своё русское сообщение (класс-признак) остаётся в подсказке; «Код ошибки: …» и «Технические сведения» — как сейчас",да,да,английский служебный текст ThermoGar
11,8,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:6824,st.error f-строка «Отложенный контекст отклонён и не был применён: {…}»,"except Exception as pending_context_error (:6819), try :6817–6818",ValueError с русским текстом validate_context_payload (thermogar_workspace.py); ValueError/KeyError Python из float() и ключей словаря (thermogar_workspace.py:757–774),смешанное,"«Загруженные настройки не применены.» + своё русское сообщение, если оно есть + «Код ошибки: …» + «Технические сведения»",нет,нет,
12,8,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:6916,st.error f-строка «Проверенная привязка базы отклонена: {error}»,"except Exception as error (:6914), try :6886–6913","VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из ArtifactCatalog.from_policy и bind_selected_database",чужое,«База не подключена: файлы базы не прошли проверку.» + «Код ошибки: …» + «Технические сведения»,нет,нет,английский служебный текст ThermoGar
13,7,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:6948,st.error(str(error)),"except Exception as error (:6946), try :6944–6945","load_database: ValueError/RuntimeError с русским текстом (ThermoGar_app.py:698–733, с repr-кавычками); SecureIOError с английским текстом (held_verified_snapshot, thermogar_secure_io.py:26); ошибки разбора TDB pycalphad",смешанное,"«Базу прочитать не удалось.» + своё русское сообщение, если оно есть + «Код ошибки: …» + «Технические сведения»",нет,нет,
14,7,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:6959,st.error(str(error)),"except Exception as error (:6957), try :6952–6956",RestrictedFeError (thermogar_restricted_fe_core.py:55; все 93 текста в модуле — английские) из verify_restricted_fe_passport,чужое,«Паспорт стальной базы не прошёл проверку.» + «Код ошибки: …» + «Технические сведения»,нет,нет,английский служебный текст ThermoGar
15,5,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:7241,st.warning f-строка «Список фаз появится после исправления состава: {preview_error}»,"except Exception as preview_error (:7240), try :7213–7239","ValueError с русским текстом ThermoGar (parse_composition, ThermoGar_app.py:2418–2460; проверки основы и добавок); VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из context.phase_policy.effective через verified_b3_candidate_phases (ThermoGar_app.py:898–905; thermogar_verified_loaders.py:757–788)",смешанное,"«Список фаз появится после исправления состава.» + своё русское сообщение, если оно есть; для чужого — «Код ошибки: …» + «Технические сведения»",нет,нет,уровень — раздел Е (warning → error)
16,1,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:7439,render_friendly_error,"except Exception as error (:7437), try :7303–7436","ValueError «Параметры расчёта некорректны.» (:7305); VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из acquire_b3_execution и verified_equilibrium; исключения pycalphad, numpy и параллельного движка (ParallelEngineError и др., thermogar_parallel.py:62–70)",смешанное,"«{заголовок}

{подсказка}» из _friendly_error_text без текста исключения; своё русское сообщение (класс-признак) остаётся в подсказке; «Код ошибки: …» и «Технические сведения» — как сейчас",да,да,
17,5,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:7566,st.warning f-строка «Список фаз появится после исправления состава: {preview_error}»,"except Exception as preview_error (:7565), try :7536–7564","ValueError с русским текстом ThermoGar (parse_composition, ThermoGar_app.py:2418–2460; проверки основы и добавок); VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из context.phase_policy.effective через verified_b3_candidate_phases (ThermoGar_app.py:898–905; thermogar_verified_loaders.py:757–788)",смешанное,"«Список фаз появится после исправления состава.» + своё русское сообщение, если оно есть; для чужого — «Код ошибки: …» + «Технические сведения»",нет,нет,уровень — раздел Е (warning → error)
18,1,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:7750,render_friendly_error,"except Exception as error (:7748), try :7651–7747","ValueError с русским текстом (:7653); RuntimeError с русским текстом prepare_calculation (ThermoGar_app.py:3180, 3189); исключения pycalphad, numpy и параллельного движка (ParallelEngineError и др., thermogar_parallel.py:62–70)",смешанное,"«{заголовок}

{подсказка}» из _friendly_error_text без текста исключения; своё русское сообщение (класс-признак) остаётся в подсказке; «Код ошибки: …» и «Технические сведения» — как сейчас",да,да,
19,5,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:7911,st.warning f-строка «Список фаз появится после исправления постоянного состава: {preview_error}»,"except Exception as preview_error (:7910), try :7879–7909","ValueError с русским текстом ThermoGar (parse_composition, ThermoGar_app.py:2418–2460; проверки основы и добавок); VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из context.phase_policy.effective через verified_b3_candidate_phases (ThermoGar_app.py:898–905; thermogar_verified_loaders.py:757–788)",смешанное,"«Список фаз появится после исправления постоянного состава.» + своё русское сообщение, если оно есть; для чужого — «Код ошибки: …» + «Технические сведения»",нет,нет,уровень — раздел Е (warning → error)
20,1,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:8107,render_friendly_error,"except Exception as error (:8105), try :7997–8104",как :7750 (ValueError :7999),смешанное,"«{заголовок}

{подсказка}» из _friendly_error_text без текста исключения; своё русское сообщение (класс-признак) остаётся в подсказке; «Код ошибки: …» и «Технические сведения» — как сейчас",да,да,
21,5,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:8309,st.warning f-строка «Список фаз появится после исправления параметров системы: {preview_error}»,"except Exception as preview_error (:8308), try :8289–8307","ValueError с русским текстом ThermoGar (parse_composition, ThermoGar_app.py:2418–2460; проверки основы и добавок); VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из context.phase_policy.effective через verified_b3_candidate_phases (ThermoGar_app.py:898–905; thermogar_verified_loaders.py:757–788)",смешанное,"«Список фаз появится после исправления параметров системы.» + своё русское сообщение, если оно есть; для чужого — «Код ошибки: …» + «Технические сведения»",нет,нет,уровень — раздел Е (warning → error)
22,4,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:8488,st.error «Диаграмму построить не удалось. Проверьте диапазоны и набор фаз. Техническая причина: {error}»,"except Exception as error (:8487), try :8328–8485","ValueError с русским текстом проверок диапазонов (:8330–8341); исключения pycalphad, numpy и параллельного движка (ParallelEngineError и др., thermogar_parallel.py:62–70)",смешанное,"«Диаграмму построить не удалось. Проверьте диапазоны и набор фаз.» + своё русское сообщение, если оно есть + «Код ошибки: …» + «Технические сведения»",нет,нет,
23,5,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:8710,st.warning f-строка «Список фаз появится после исправления состава: {preview_error}»,"except Exception as preview_error (:8709), try :8652–8708","ValueError с русским текстом ThermoGar (parse_composition, ThermoGar_app.py:2418–2460; проверки основы и добавок); VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из context.phase_policy.effective через verified_b3_candidate_phases (ThermoGar_app.py:898–905; thermogar_verified_loaders.py:757–788); ValueError с русским текстом (:8654–8665)",смешанное,"«Список фаз появится после исправления состава.» + своё русское сообщение, если оно есть; для чужого — «Код ошибки: …» + «Технические сведения»",нет,нет,уровень — раздел Е (warning → error)
24,4,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:8962,st.error «Сечение построить не удалось. … Техническая причина: {error}»,"except Exception as error (:8961), try :8730–8959","ValueError с русским текстом (:8734–8745); исключения pycalphad, numpy и параллельного движка (ParallelEngineError и др., thermogar_parallel.py:62–70)",смешанное,"«Сечение построить не удалось. Проверьте состав, диапазоны и набор фаз.» + своё русское сообщение, если оно есть + «Код ошибки: …» + «Технические сведения»",нет,нет,
25,5,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:9152,st.warning f-строка «Список фаз появится после исправления параметров системы: {preview_error}»,"except Exception as preview_error (:9151), try :9131–9150","ValueError с русским текстом ThermoGar (parse_composition, ThermoGar_app.py:2418–2460; проверки основы и добавок); VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из context.phase_policy.effective через verified_b3_candidate_phases (ThermoGar_app.py:898–905; thermogar_verified_loaders.py:757–788)",смешанное,"«Список фаз появится после исправления параметров системы.» + своё русское сообщение, если оно есть; для чужого — «Код ошибки: …» + «Технические сведения»",нет,нет,уровень — раздел Е (warning → error)
26,4,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:9326,st.error «Тройную диаграмму построить не удалось. … Техническая причина: {error}»,"except Exception as error (:9325), try :9172–9323","ValueError с русским текстом (:9174); исключения pycalphad, numpy и параллельного движка (ParallelEngineError и др., thermogar_parallel.py:62–70)",смешанное,"«Тройную диаграмму построить не удалось. Проверьте три элемента, температуру, шаг и набор фаз.» + своё русское сообщение, если оно есть + «Код ошибки: …» + «Технические сведения»",нет,нет,
27,5,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:9541,st.warning f-строка «Список фаз появится после исправления параметров системы: {preview_error}»,"except Exception as preview_error (:9540), try :9520–9539","ValueError с русским текстом ThermoGar (parse_composition, ThermoGar_app.py:2418–2460; проверки основы и добавок); VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из context.phase_policy.effective через verified_b3_candidate_phases (ThermoGar_app.py:898–905; thermogar_verified_loaders.py:757–788)",смешанное,"«Список фаз появится после исправления параметров системы.» + своё русское сообщение, если оно есть; для чужого — «Код ошибки: …» + «Технические сведения»",нет,нет,уровень — раздел Е (warning → error)
28,4,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:9811,st.error «Карту доли фазы построить не удалось. … Техническая причина: {error}»,"except Exception as error (:9810), try :9596–9808","ValueError с русским текстом (:9598–9604); исключения pycalphad, numpy и параллельного движка (ParallelEngineError и др., thermogar_parallel.py:62–70)",смешанное,"«Карту доли фазы построить не удалось. Проверьте три элемента, выбранную фазу, температуру, шаг и набор разрешённых фаз.» + своё русское сообщение, если оно есть + «Код ошибки: …» + «Технические сведения»",нет,нет,
29,5,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:10103,st.error f-строка «Исправьте состав: {preview_error}»,"except Exception as preview_error (:10101), try :10090–10100","ValueError с русским текстом ThermoGar (parse_composition, ThermoGar_app.py:2418–2460; проверки основы и добавок); VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из context.phase_policy.effective через verified_b3_candidate_phases (ThermoGar_app.py:898–905; thermogar_verified_loaders.py:757–788)",смешанное,"«Исправьте состав.» + своё русское сообщение, если оно есть; для чужого — «Код ошибки: …» + «Технические сведения»",нет,нет,уже error
30,1,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:10481,render_friendly_error(solidification_error),"except Exception as solidification_error (:10480), try :10135–10478",ValueError с русским текстом (:10137); parse_composition; prepare_calculation; исключения пакета scheil и pycalphad,смешанное,"«{заголовок}

{подсказка}» из _friendly_error_text без текста исключения; своё русское сообщение (класс-признак) остаётся в подсказке; «Код ошибки: …» и «Технические сведения» — как сейчас",да,да,
31,9,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:10545,st.warning f-строка «{метод}: {error_text}»,"не в обработчике: errors[method] = str(method_error) (:10252), except Exception (:10251)",исключения пакета scheil и pycalphad; свои RuntimeError/ValueError с русским текстом,смешанное,"«{метод}: расчёт не завершён.» + своё русское сообщение, если оно есть; для чужого — «Код ошибки: …» + «Технические сведения»",нет,нет,уровень — раздел Е (warning → error)
32,5,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:10711,st.warning f-строка «Список фаз появится после исправления состава: {preview_error}»,"except Exception as preview_error (:10710), try :10701–10709","ValueError с русским текстом ThermoGar (parse_composition, ThermoGar_app.py:2418–2460; проверки основы и добавок); VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из context.phase_policy.effective через verified_b3_candidate_phases (ThermoGar_app.py:898–905; thermogar_verified_loaders.py:757–788)",смешанное,"«Список фаз появится после исправления состава.» + своё русское сообщение, если оно есть; для чужого — «Код ошибки: …» + «Технические сведения»",нет,нет,уровень — раздел Е (warning → error)
33,1,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:10850,render_friendly_error,"except Exception as error (:10849), try :10767–10848","parse_composition, prepare_calculation (русский текст); RuntimeError с русским текстом (:3840–3843); исключения pycalphad, numpy и параллельного движка (ParallelEngineError и др., thermogar_parallel.py:62–70)",смешанное,"«{заголовок}

{подсказка}» из _friendly_error_text без текста исключения; своё русское сообщение (класс-признак) остаётся в подсказке; «Код ошибки: …» и «Технические сведения» — как сейчас",да,да,
34,11,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:10857,st.warning «Некоторые фазы пропущены:» + список skipped,"не в обработчике: skipped.append(f'{phase_name}: {error}') (:3837), except Exception (:3836)",своя русская строка «нет допустимого однофазного решения…» (:3826–3829) и текст любого исключения pycalphad/numpy (:3837),смешанное,«Некоторые фазы пропущены:» + свои строки как есть; для чужих — «{фаза}: энергия не рассчитана» + «Код ошибки: …» + «Технические сведения»,нет,нет,
35,5,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:10936,st.warning f-строка «Список фаз появится после исправления состава: {preview_error}»,"except Exception as preview_error (:10935), try :10926–10934","ValueError с русским текстом ThermoGar (parse_composition, ThermoGar_app.py:2418–2460; проверки основы и добавок); VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из context.phase_policy.effective через verified_b3_candidate_phases (ThermoGar_app.py:898–905; thermogar_verified_loaders.py:757–788)",смешанное,"«Список фаз появится после исправления состава.» + своё русское сообщение, если оно есть; для чужого — «Код ошибки: …» + «Технические сведения»",нет,нет,уровень — раздел Е (warning → error)
36,1,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:11086,render_friendly_error,"except Exception as error (:11085), try :11004–11084","ValueError с русским текстом (:11006); parse_composition; исключения pycalphad, numpy и параллельного движка (ParallelEngineError и др., thermogar_parallel.py:62–70)",смешанное,"«{заголовок}

{подсказка}» из _friendly_error_text без текста исключения; своё русское сообщение (класс-признак) остаётся в подсказке; «Код ошибки: …» и «Технические сведения» — как сейчас",да,да,
37,5,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:11209,st.warning f-строка «Список фаз появится после исправления постоянных добавок: {preview_error}»,"except Exception as preview_error (:11208), try :11197–11207","ValueError с русским текстом ThermoGar (parse_composition, ThermoGar_app.py:2418–2460; проверки основы и добавок); VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из context.phase_policy.effective через verified_b3_candidate_phases (ThermoGar_app.py:898–905; thermogar_verified_loaders.py:757–788)",смешанное,"«Список фаз появится после исправления постоянных добавок.» + своё русское сообщение, если оно есть; для чужого — «Код ошибки: …» + «Технические сведения»",нет,нет,уровень — раздел Е (warning → error)
38,1,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:11348,render_friendly_error,"except Exception as error (:11347), try :11282–11346","ValueError с русским текстом (:11284); tzero_path_table; исключения pycalphad, numpy и параллельного движка (ParallelEngineError и др., thermogar_parallel.py:62–70)",смешанное,"«{заголовок}

{подсказка}» из _friendly_error_text без текста исключения; своё русское сообщение (класс-признак) остаётся в подсказке; «Код ошибки: …» и «Технические сведения» — как сейчас",да,да,
39,8,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:11429,st.error f-строка «Проверенная физическая привязка отклонена: {error}»,"except Exception as error (:11426), try :11423–11425","VerifiedLoaderError (thermogar_verified_loaders.py:199; текст «{код}: {английская деталь}», :209) из bind_b4b_physical_context (ThermoGar_app.py:1364–1405: ArtifactCatalog.from_policy, bind_selected_database)",чужое,«Физическая база не подключена: файлы не прошли проверку.» + «Код ошибки: …» + «Технические сведения»,нет,нет,английский служебный текст ThermoGar
40,7,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:11451,st.error(str(b4b_physical_error)),не в обработчике: тот же b4b_physical_error из :11426,как :11429,чужое,"«Физическая база не подключена: файлы не прошли проверку.» без повтора кода: код ошибки один, у :11429",нет,нет,вкладка «Плотность»: одна и та же ошибка выводится 6 раз (:11429 и 5 вкладок)
41,7,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:11466,st.error(str(b4b_physical_error)),не в обработчике: тот же b4b_physical_error из :11426,как :11429,чужое,"«Физическая база не подключена: файлы не прошли проверку.» без повтора кода: код ошибки один, у :11429",нет,нет,вкладка «Плотность по T»: одна и та же ошибка выводится 6 раз (:11429 и 5 вкладок)
42,7,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:11483,st.error(str(b4b_physical_error)),не в обработчике: тот же b4b_physical_error из :11426,как :11429,чужое,"«Физическая база не подключена: файлы не прошли проверку.» без повтора кода: код ошибки один, у :11429",нет,нет,вкладка «Упругие свойства»: одна и та же ошибка выводится 6 раз (:11429 и 5 вкладок)
43,7,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:11498,st.error(str(b4b_physical_error)),не в обработчике: тот же b4b_physical_error из :11426,как :11429,чужое,"«Физическая база не подключена: файлы не прошли проверку.» без повтора кода: код ошибки один, у :11429",нет,нет,вкладка «Вклады упрочнения»: одна и та же ошибка выводится 6 раз (:11429 и 5 вкладок)
44,7,вызов сообщения (66 из t1_6),app/ThermoGar_app.py:11508,st.error(str(b4b_physical_error)),не в обработчике: тот же b4b_physical_error из :11426,как :11429,чужое,"«Физическая база не подключена: файлы не прошли проверку.» без повтора кода: код ошибки один, у :11429",нет,нет,вкладка «Покрытие PDB»: одна и та же ошибка выводится 6 раз (:11429 и 5 вкладок)
