шаг;время, с;C в матрице, мол. доля;C в матрице до зажима;xEqAlpha C (kawin);доля M23C6;частиц, 1/м³;средний радиус, нм;C в выделениях / C сплава;невязка C (x0 − [(1−f)x + f_conc]);движущая сила, Дж/м³;зарождение, 1/(м³·с);Rcrit, нм
0;0.0;0.009157572527802665;0.009157572527802665;2.7511192067466838e-05;0.0;0.0;0.0;0.0;0.0;1279854295.0214286;0.0;0.46880336483142726
1;0.01001;0.009157572527802665;0.009157572527802665;2.7511191734257314e-05;0.0;0.0;0.0;0.0;0.0;1279854295.0236983;3.557181858070594e+22;0.46880336483059587
2;0.02003001;0.00915751857165489;0.00915751857165489;2.7511191734294082e-05;2.728654374180891e-07;3.564202103845913e+20;0.5675;6.164834394169673e-06;0.0;1279853455.4520996;4.141240734537216e+22;0.4688036723611095
3;0.026896558607372074;0.00915741744352031;0.00915741744352031;2.7511191734186567e-05;7.842872525908521e-07;6.407618836143313e+20;0.6305960383974374;1.7719360412336326e-05;0.0;1279851881.8426704;4.3047731320674144e+22;0.4688042487667778
4;0.02701938362552402;0.009157410712808173;0.009157410712808173;2.7511191734301475e-05;8.183255660198748e-07;6.298920780943808e+20;0.643569612181933;1.8488386227156715e-05;0.0;1279851777.0938742;4.306972797710145e+22;0.46880428713581523
5;0.027142208636198813;0.00915740352696213;0.00915740352696213;2.7511191734256298e-05;8.546655635824869e-07;6.226612773424733e+20;0.6551874158006752;1.9309413869858013e-05;0.0;1279851665.2880325;4.309152549116732e+22;0.46880432808982525
6;0.02726503363888944;0.009157396072750387;0.009157396072750387;2.751119173413197e-05;8.923627275355111e-07;6.181159590837804e+20;0.6656462426708049;2.016110390102959e-05;0.0;1279851549.294335;4.311313026024387e+22;0.46880437057783686
7;0.027387858633294786;0.009157388378049566;0.009157388378049566;2.7511191734320333e-05;9.312760809901699e-07;6.155554321819427e+20;0.6751808666338355;2.1040271237280356e-05;0.0;1279851429.5668542;4.313454528305774e+22;0.46880441443352583
8;0.0275106836191555;0.009157380456762319;0.009157380456762319;2.7511191734274573e-05;9.713353156892015e-07;6.144646987165924e+20;0.6839893464785687;2.1945327407873014e-05;0.0;1279851306.3014233;4.315577315952141e+22;0.46880445958516015
9;0.027633508596213448;0.009157372318344206;0.009157372318344206;2.7511191734294218e-05;1.0124926130596223e-06;6.14465147565626e+20;0.692231703306401;2.2875192050317527e-05;0.0;1279851179.667679;4.317681641455894e+22;0.4688045059706032
10;0.027756333564229654;0.00915736396942549;0.00915736396942549;2.751119173421331e-05;1.0547144425172067e-06;6.152783433182607e+20;0.7000342823409058;2.3829107609898123e-05;0.0;1279851049.739365;4.319767740134722e+22;0.4688045535628438
11;0.027879158522966945;0.009157355414594483;0.009157355414594483;2.7511191734300533e-05;1.0979775999636623e-06;6.16699432408876e+20;0.7074952518682961;2.480654983764949e-05;0.0;1279850916.6285346;4.321835848826579e+22;0.4688046023208379
12;0.028001983472201217;0.009157346656943193;0.009157346656943193;2.751119173428826e-05;1.1422664483566092e-06;6.185776121540384e+20;0.7146900034948883;2.5807165446700253e-05;0.0;1279850780.3401577;4.323886185586851e+22;0.46880465224276574
13;0.02812480841170399;0.009157337698465946;0.009157337698465946;2.7511191734208847e-05;1.1875709017880736e-06;6.20801786798269e+20;0.7216759420514892;2.6830726566665084e-05;0.0;1279850640.943414;4.32591897424161e+22;0.4688047033032879
14;0.029672622266197744;0.009157200280530515;0.009157200280530515;2.7511191734274648e-05;1.8825148835211343e-06;6.798140637908265e+20;0.789441008828468;4.25315591863891e-05;0.0;1279848502.5538836;4.3500994018046615e+22;0.4688054865890184
15;0.029795447043057994;0.009157188682851343;0.009157188682851343;2.7511191734281946e-05;1.9411661159378617e-06;6.786333035826027e+20;0.7985716319538253;4.385666337798032e-05;0.0;1279848322.089403;4.351913210934749e+22;0.4688055526927412
16;0.029918271807032673;0.009157176843941656;0.009157176843941656;2.7511191734243684e-05;2.001037280763182e-06;6.787104668730361e+20;0.8068819109203198;4.520932943794964e-05;0.0;1279848137.8575072;4.353712136931828e+22;0.46880562017647864
17;0.03146609173282244;0.00915699431230114;0.00915699431230114;2.7511191734257853e-05;2.924126609234341e-06;7.32020510807708e+20;0.8756297747854677;6.606463780861226e-05;0.0;1279845297.3690526;4.3751451775309495e+22;0.4688066606435993
18;0.033013918548336546;0.009156773909763353;0.009156773909763353;2.7511191734274113e-05;4.0387323589550075e-06;7.802321135843422e+20;0.9448057333329912;9.124686655416359e-05;0.0;1279841867.416898;4.394538507452208e+22;0.4688079170366403
19;0.03456175368342173;0.009156514731935574;0.009156514731935574;2.7511191734257314e-05;5.349426869650203e-06;8.302945196410295e+20;1.0094087331088568;0.00012085931830415379;0.0;1279837833.8825953;4.412140175927839e+22;0.4688093945307139
