# 2026-09-25T12:08:11 $ /tmp/claude-0/-home-user-ThermoGar/91a7a4bf-1d62-5d41-9dde-fdc45d17fc16/scratchpad/venv22a/bin/python -B -X utf8 /home/user/ThermoGar/results/wave22_a/scripts/kwn_run.py --tag a2_005h_mincomp1e-8_s2 --cell app --bins 80 --duration-h 0.05 --constraint minComposition=1e-8 --progress 30
/tmp/claude-0/-home-user-ThermoGar/91a7a4bf-1d62-5d41-9dde-fdc45d17fc16/scratchpad/venv22a/lib/python3.11/site-packages/kawin/precipitation/NucleationRate.py:190: RuntimeWarning: divide by zero encountered in divide
  incubationTime = np.amin([np.exp(-tau[indices] / time), np.ones(tau[indices].shape)], axis=0)
ЖУРНАЛ стена=30 с; t=25.4938 с (0.007082 ч); шаг=820; доля=0.0488 %; x_C=0.009061
ЖУРНАЛ стена=60 с; t=29.2114 с (0.008114 ч); шаг=1929; доля=0.0578 %; x_C=0.009043
ЖУРНАЛ стена=90 с; t=32.8909 с (0.009136 ч); шаг=3031; доля=0.0665 %; x_C=0.009026
ЖУРНАЛ стена=120 с; t=36.6159 с (0.01017 ч); шаг=4151; доля=0.0753 %; x_C=0.009009
ЖУРНАЛ стена=150 с; t=40.3133 с (0.0112 ч); шаг=5267; доля=0.0838 %; x_C=0.008992
ЖУРНАЛ стена=180 с; t=43.5749 с (0.0121 ч); шаг=6255; доля=0.0913 %; x_C=0.008977
ЖУРНАЛ стена=210 с; t=47.1509 с (0.0131 ч); шаг=7342; доля=0.0994 %; x_C=0.008961
ЖУРНАЛ стена=240 с; t=50.8024 с (0.01411 ч); шаг=8456; доля=0.1075 %; x_C=0.008945
ЖУРНАЛ стена=270 с; t=54.4311 с (0.01512 ч); шаг=9567; доля=0.1155 %; x_C=0.008929
ЖУРНАЛ стена=300 с; t=57.9234 с (0.01609 ч); шаг=10640; доля=0.1231 %; x_C=0.008914
ЖУРНАЛ стена=330 с; t=61.4947 с (0.01708 ч); шаг=11741; доля=0.1308 %; x_C=0.008899
ЖУРНАЛ стена=360 с; t=65.028 с (0.01806 ч); шаг=12834; доля=0.1383 %; x_C=0.008884
ЖУРНАЛ стена=390 с; t=68.4949 с (0.01903 ч); шаг=13910; доля=0.1456 %; x_C=0.008869
ЖУРНАЛ стена=420 с; t=72.0662 с (0.02002 ч); шаг=15022; доля=0.1530 %; x_C=0.008854
ЖУРНАЛ стена=450 с; t=75.3955 с (0.02094 ч); шаг=16062; доля=0.1599 %; x_C=0.008841
ЖУРНАЛ стена=480 с; t=78.8551 с (0.0219 ч); шаг=17146; доля=0.1669 %; x_C=0.008827
ЖУРНАЛ стена=510 с; t=82.2785 с (0.02286 ч); шаг=18222; доля=0.1738 %; x_C=0.008813
ЖУРНАЛ стена=540 с; t=85.7105 с (0.02381 ч); шаг=19304; доля=0.1807 %; x_C=0.0088
ЖУРНАЛ стена=570 с; t=89.2048 с (0.02478 ч); шаг=20409; доля=0.1875 %; x_C=0.008786
ЖУРНАЛ стена=600 с; t=92.613 с (0.02573 ч); шаг=21490; доля=0.1942 %; x_C=0.008773
ЖУРНАЛ стена=630 с; t=96.1085 с (0.0267 ч); шаг=22602; доля=0.2009 %; x_C=0.008759
ЖУРНАЛ стена=660 с; t=99.5154 с (0.02764 ч); шаг=23689; доля=0.2074 %; x_C=0.008747
ЖУРНАЛ стена=690 с; t=102.928 с (0.02859 ч); шаг=24781; доля=0.2139 %; x_C=0.008734
ЖУРНАЛ стена=720 с; t=105.819 с (0.02939 ч); шаг=25872; доля=4.3581 %; x_C=0.0001472
ЖУРНАЛ стена=750 с; t=106.78 с (0.02966 ч); шаг=27030; доля=4.3998 %; x_C=5.7e-05
ЖУРНАЛ стена=780 с; t=107.513 с (0.02986 ч); шаг=28185; доля=4.4045 %; x_C=4.683e-05
ЖУРНАЛ стена=810 с; t=108.235 с (0.03007 ч); шаг=29322; доля=4.4046 %; x_C=4.665e-05
