тег; остановка; конец, с; пинков вниз; пинков вверх; моменты пинков вниз, с
a2_005h_umolch_s0; да; 110.7; 0; 0; 
a2_extra_cap2_s0; нет; 3.6; 0; 0; 
a2_extra_cap2_s1; нет; 3.6; 0; 0; 
a2_extra_cap2_s2; нет; 3.6; 0; 0; 
a2_kawin_diss1e-4_s0; да; 1.761; 0; 1; 
a2_kawin_diss1e-4_s1; да; 1.032; 0; 1; 
a2_kawin_diss1e-4_s2; да; 1.156; 0; 1; 
a2_kawin_dtfrac0.1_s0; да; 1.981; 3; 1; 0.765, 1.205, 1.461
a2_kawin_dtfrac0.1_s1; да; 2.431; 5; 1; 0.765, 1.429, 1.745, 2.042, 2.171
a2_kawin_dtfrac0.1_s2; да; 3.109; 6; 1; 0.765, 1.154, 1.438, 1.697, 2.567, 2.825
a2_kawin_mincomp1e-11_s0; нет; 3.6; 6; 0; 0.765, 1.138, 1.413, 1.692, 3.212, 3.435
a2_kawin_mincomp1e-11_s1; нет; 3.6; 9; 0; 0.765, 1.198, 1.419, 1.753, 2.335, 2.539, 2.907, 3.244, 3.454
a2_kawin_mincomp1e-11_s2; нет; 3.6; 10; 0; 0.765, 1.137, 1.357, 1.532, 1.732, 1.892, 2.169, 2.366, 2.943, 3.323
a2_kawin_mincomp1e-8_s0; нет; 3.6; 9; 0; 0.765, 1.211, 1.407, 1.604, 1.750, 2.037, 2.333, 2.703, 3.247
a2_kawin_mincomp1e-8_s1; нет; 3.6; 9; 0; 0.765, 1.121, 1.463, 1.679, 2.069, 2.381, 2.763, 3.132, 3.422
a2_kawin_mincomp1e-8_s2; нет; 3.6; 8; 0; 0.765, 1.227, 1.697, 1.999, 2.431, 2.712, 2.977, 3.337
a2_kawin_rcrit1e-3_s0; да; 2.062; 0; 1; 
a2_kawin_rcrit1e-3_s1; нет; 3.6; 1; 0; 1.840
a2_kawin_rcrit1e-3_s2; да; 3.277; 3; 1; 1.094, 1.309, 2.224
a2_kawin_vol1e-4_s0; нет; 3.6; 0; 0; 
a2_kawin_vol1e-4_s1; нет; 3.6; 0; 0; 
a2_kawin_vol1e-4_s2; нет; 3.6; 0; 0; 
a2_otl_backend36_s0; нет; 3.6; 25; 0; 0.502, 0.545, 0.574, 0.595, 0.898, 0.937, 1.012, 1.035, 1.060, 1.106, 1.265, 1.560 …
a2_otl_backend36_s1; да; 2.904; 16; 1; 0.492, 0.567, 0.881, 1.000, 1.045, 1.088, 1.535, 1.645, 1.735, 1.802, 1.900, 1.934 …
a2_otl_backend36_s2; нет; 3.6; 20; 0; 0.481, 0.507, 0.544, 0.885, 0.971, 1.084, 1.122, 1.554, 1.646, 1.737, 1.851, 1.919 …
a2_otl_bezNi_s0; нет; 3.6; 3; 0; 1.473, 2.357, 3.120
a2_otl_bezNi_s1; нет; 3.6; 4; 0; 1.360, 2.371, 2.898, 3.261
a2_otl_bezNi_s2; да; 2.437; 1; 1; 1.726
a2_otl_n30_s0; нет; 3.6; 7; 0; 0.462, 1.525, 1.661, 2.142, 2.358, 2.409, 2.974
a2_otl_n30_s1; нет; 3.6; 2; 0; 0.697, 1.707
a2_otl_n30_s2; нет; 3.6; 5; 0; 0.663, 2.141, 2.421, 2.922, 3.123
a2_s1_trace_s0; да; 1.981; 3; 1; 0.765, 1.205, 1.461
a2_s1_trace_s4; да; 0.7647; 0; 1; 
a2_setka_b30_c02_s0; да; 1.537; 1; 1; 1.274
a2_setka_b30_c02_s1; да; 1.349; 1; 1; 0.947
a2_setka_b30_c02_s2; да; 2.375; 1; 1; 1.376
a2_setka_b30_c05_s0; да; 1.678; 3; 1; 0.819, 1.130, 1.354
a2_setka_b30_c05_s1; да; 0.845; 0; 1; 
a2_setka_b30_c05_s2; да; 1.347; 1; 1; 0.883
a2_setka_b40_c02_s0; да; 1.981; 3; 1; 0.765, 1.205, 1.461
a2_setka_b40_c02_s1; да; 2.431; 5; 1; 0.765, 1.429, 1.745, 2.042, 2.171
a2_setka_b40_c02_s2; да; 3.109; 6; 1; 0.765, 1.154, 1.438, 1.697, 2.567, 2.825
a2_setka_b40_c05_s0; да; 1.439; 2; 1; 0.936, 1.187
a2_setka_b40_c05_s1; да; 1.188; 1; 1; 0.936
a2_setka_b40_c05_s2; да; 1.439; 2; 1; 0.936, 1.188
a2_setka_b60_c02_s0; да; 1.539; 1; 1; 1.177
a2_setka_b60_c02_s1; да; 1.511; 2; 1; 1.061, 1.261
a2_setka_b60_c02_s2; да; 0.976; 0; 1; 
a2_setka_b60_c05_s0; да; 2.692; 2; 1; 0.884, 2.066
a2_setka_b60_c05_s1; да; 1.575; 1; 1; 0.884
a2_setka_b60_c05_s2; да; 2.709; 3; 1; 0.884, 1.222, 1.823
a2_setka_b80_c02_s0; нет; 3.6; 4; 0; 1.358, 2.018, 2.357, 3.075
a2_setka_b80_c02_s1; да; 1.438; 0; 1; 
a2_setka_b80_c02_s2; да; 2.427; 2; 1; 1.250, 1.691
a2_setka_b80_c05_s0; да; 1.258; 1; 1; 1.126
a2_setka_b80_c05_s1; да; 0.9991; 1; 1; 0.862
a2_setka_b80_c05_s2; нет; 3.6; 6; 0; 0.991, 1.483, 2.773, 2.946, 3.117, 3.532
a2_shag0_app_seed0; да; 1.981; 3; 1; 0.765, 1.205, 1.461
a2_skhod_cap2_b30_s0; нет; 3.6; 0; 0; 
a2_skhod_cap2_b60_s0; нет; 3.6; 0; 0; 
a2_skhod_mincomp1e-8_b30_s0; нет; 3.6; 7; 0; 1.274, 1.537, 1.951, 2.298, 2.560, 2.724, 3.564
a2_skhod_mincomp1e-8_b60_s0; нет; 3.6; 6; 0; 1.177, 1.921, 2.218, 2.601, 3.179, 3.454
a2_zerno_s3; да; 2.431; 5; 1; 0.765, 1.429, 1.745, 2.042, 2.171
a2_zerno_s4; да; 0.7647; 0; 1; 
a2_zerno_s5; да; 0.7647; 0; 1; 
a2_zerno_s6; да; 0.7647; 0; 1; 
a2_zerno_s7; да; 0.7647; 0; 1; 
a2_zerno_s8; да; 3.109; 6; 1; 0.765, 1.154, 1.438, 1.697, 2.567, 2.825
a2_zerno_s9; да; 0.7647; 0; 1; 
shag1_app; да; 0.7647; 0; 1; 
shag1_app_seed0_a; да; 1.981; 3; 1; 0.765, 1.205, 1.461
shag1_app_seed0_b; да; 1.981; 3; 1; 0.765, 1.205, 1.461
shag1_app_seed0_trace; да; 1.981; 3; 1; 0.765, 1.205, 1.461
shag1_app_seed1; да; 2.431; 5; 1; 0.765, 1.429, 1.745, 2.042, 2.171
shag1_app_seed2; да; 3.109; 6; 1; 0.765, 1.154, 1.438, 1.697, 2.567, 2.825
shag1_backend; нет; 1; 5; 0; 0.481, 0.507, 0.544, 0.885, 0.971
shag1_backend_seed0_a; нет; 1; 6; 0; 0.502, 0.545, 0.574, 0.595, 0.898, 0.937
shag1_backend_seed0_b; нет; 1; 6; 0; 0.502, 0.545, 0.574, 0.595, 0.898, 0.937
shag1_backend_seed1; нет; 1; 3; 0; 0.492, 0.567, 0.881
shag2_app_trace; да; 3.109; 6; 1; 0.765, 1.154, 1.438, 1.697, 2.567, 2.825
