тег;серия;ячейка;зерно;классов;cmin, нм;cmax, нм;bulk_n0, 1/м³;состав;выдержка, с;настройка kawin;статус;остановка;момент остановки, с;конец, с;строк;доля в конце, %;максимум доли, %;радиус в конце, нм;частиц в конце, 1/м³;невязка C до остановки, max |·|;C в выделениях / C сплава на остановке;стена, с;пик памяти, ГиБ;текст
a2_shag0_app_seed0;22-А2 шаг 0;приложения;0;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;1,980708307;1,980708307;2133;6,1085;6,1085;0,825848;1,7577e+24;1,73e-18;1,3801;59,1;0,344;Расчёт остановлен на 1.981 с модельного времени (0.0005502 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_s1_trace_s0;22-А2 шаг 1;приложения;0;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;1,980708307;1,980708307;2133;6,1085;6,1085;0,825848;1,7577e+24;1,73e-18;1,3801;60,1;0,362;Расчёт остановлен на 1.981 с модельного времени (0.0005502 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_s1_trace_s4;22-А2 шаг 1;приложения;4;40;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;0,7646822149;0,7646822149;545;6,26302;6,26302;0,822594;1,9389e+24;0;1,4150;20,3;0,349;Расчёт остановлен на 0.7647 с модельного времени (0.0002124 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
a2_setka_b20_c02_s0;22-А2 шаг 2а;приложения;0;20;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;отказ до счёта;отказ;;;;;;;;;;7,2;0,338;UserValueError: Сетка размеров слишком грубая: ширина класса 0.49 нм не меньше критического радиуса зародыша 0.469 нм (оценка при 700.0 °C по начальному составу). Зародыши попали бы в класс шире себя, объём выделений был бы завышен, и расчёт показал бы ложную объёмную долю вплоть до 100 %. Уменьшите «Начальный максимальный радиус» или возьмите больше классов: при этом диапазоне нужно не меньше 21.
a2_setka_b20_c02_s1;22-А2 шаг 2а;приложения;1;20;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;отказ до счёта;отказ;;;;;;;;;;6,6;0,335;UserValueError: Сетка размеров слишком грубая: ширина класса 0.49 нм не меньше критического радиуса зародыша 0.469 нм (оценка при 700.0 °C по начальному составу). Зародыши попали бы в класс шире себя, объём выделений был бы завышен, и расчёт показал бы ложную объёмную долю вплоть до 100 %. Уменьшите «Начальный максимальный радиус» или возьмите больше классов: при этом диапазоне нужно не меньше 21.
a2_setka_b20_c02_s2;22-А2 шаг 2а;приложения;2;20;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;отказ до счёта;отказ;;;;;;;;;;6,3;0,337;UserValueError: Сетка размеров слишком грубая: ширина класса 0.49 нм не меньше критического радиуса зародыша 0.469 нм (оценка при 700.0 °C по начальному составу). Зародыши попали бы в класс шире себя, объём выделений был бы завышен, и расчёт показал бы ложную объёмную долю вплоть до 100 %. Уменьшите «Начальный максимальный радиус» или возьмите больше классов: при этом диапазоне нужно не меньше 21.
a2_setka_b20_c05_s0;22-А2 шаг 2а;приложения;0;20;0,5;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;отказ до счёта;отказ;;;;;;;;;;6,5;0,337;UserValueError: Сетка размеров слишком грубая: ширина класса 0.475 нм не меньше критического радиуса зародыша 0.469 нм (оценка при 700.0 °C по начальному составу). Зародыши попали бы в класс шире себя, объём выделений был бы завышен, и расчёт показал бы ложную объёмную долю вплоть до 100 %. Уменьшите «Начальный максимальный радиус» или возьмите больше классов: при этом диапазоне нужно не меньше 21.
a2_setka_b20_c05_s1;22-А2 шаг 2а;приложения;1;20;0,5;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;отказ до счёта;отказ;;;;;;;;;;6,1;0,337;UserValueError: Сетка размеров слишком грубая: ширина класса 0.475 нм не меньше критического радиуса зародыша 0.469 нм (оценка при 700.0 °C по начальному составу). Зародыши попали бы в класс шире себя, объём выделений был бы завышен, и расчёт показал бы ложную объёмную долю вплоть до 100 %. Уменьшите «Начальный максимальный радиус» или возьмите больше классов: при этом диапазоне нужно не меньше 21.
a2_setka_b20_c05_s2;22-А2 шаг 2а;приложения;2;20;0,5;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;отказ до счёта;отказ;;;;;;;;;;6,8;0,334;UserValueError: Сетка размеров слишком грубая: ширина класса 0.475 нм не меньше критического радиуса зародыша 0.469 нм (оценка при 700.0 °C по начальному составу). Зародыши попали бы в класс шире себя, объём выделений был бы завышен, и расчёт показал бы ложную объёмную долю вплоть до 100 %. Уменьшите «Начальный максимальный радиус» или возьмите больше классов: при этом диапазоне нужно не меньше 21.
a2_setka_b30_c02_s0;22-А2 шаг 2а;приложения;0;30;0,2;10;1e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;умолчания kawin 0.5.0;посчитан;да;1,536560291;1,536560291;1380;4,90951;4,90951;0,398579;2,9773e+24;0;1,1092;41,5;0,345;Расчёт остановлен на 1.537 с модельного времени (0.0004268 ч): доля C в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
