"gruppa","marka","klyuch_zamorozki","sistema","tip_istochnika_sostava","baza_zamorozki","versiya_bazy_zamorozki","sha256_bazy_zamorozki","sha256_bazy_zamorozki_v_predraschete","baza_sloya_segodnya","sha256_bazy_sloya_segodnya","rodoslovnaya","status_v_sloe","sostav_kolonok_w","elementy_v_reshatel","otbrosheno_kak_sled","w_AL","w_B","w_C","w_CO","w_CR","w_CU","w_FE","w_H","w_MG","w_MN","w_MO","w_N","w_NB","w_NI","w_O","w_SI","w_TA","w_TI","w_V","w_W","w_Y","w_ZN","w_ZR","x_v_reshatel","T_sol_K","T_liq_K","T_plav_odno_K","metod_T","istochnik_T","pdens","setka_polnaya","tochnost_K","versiya_sloya_zamorozki","bystryj_nabor_sloya","nabor_faz_zamorozki","polnyj_nabor_ponadobilsya","dobavleno_storozhem","fazy_pod_solidusom","isklyucheny_v_zamorozke","isklyucheny_v_sloe_segodnya","ulika_nabora","primechanie"
"kartochka","VJ159","","Ni","стандарт","","","","","mc_ni","1dc72c5501eb2d9a1778c5a5622728257572a1dcd0ee218c9b4f9a00e0ad08f8","","otkaz_sloya: za_granicami_sostava — состав вне границ оптимизации базы mc_ni v2.036 (ThermoGar garcalc): CR 27 масс.% при пределе оптимизации базы < 20 масс.%; MO 7.4 масс.% при пределе оптимизации базы < 5 масс.%","v_reshatel","AL C CR FE MN MO NB NI SI","B LA MG P S Y","1.400847512745211","","0.060036321974794755","","27.01634488865764","","1.5009080493698688","","","0.2501513415616448","7.404479710224686","","3.051846367052067","58.91514366191546","","0.4002421464986317","","","","","","","","AL=0.02990684026349683;C=0.00287931193069331;CR=0.29930258134858073;FE=0.015481876443530013;MN=0.0026229124649269284;MO=0.044453235267799956;NB=0.018922247142030637;NI=0.5782217694313736;SI=0.00820922570756806","NA","NA","NA","NA","canon/data/reference/deskriptory_splavov_v1.csv, splav=VJ159, T_sol_K/T_liq_K; CALPHAD НЕЛЬЗЯ: состав вне границ оптимизации mc_ni 2.036 — Cr 27 масс.% при пределе <20, Mo 7,4 при пределе <5. Открытого литературного значения не нашёл; просмотрено: каталог ВИАМ catalog.viam.ru (свойств нет), auremo.org и evek.org (состав по ТУ 14-131-1042-2008 есть, теплофизики нет), статьи cyberleninka по ВЖ159 для СЛС, протокол владельца (там k/ρ/Cp, температур плавления нет)","","","","","LIQUID FCC_A1 BCC_A2 HCP_A3","","","","","","BCC_B2","","состав ниже — тот, что слой подал бы в решатель БЕЗ проверки пределов шапки (для счёта ThermoGar)"
"kartochka","IN718","N-1|INCONEL 718","Ni","датащит / стандарт через датащит","mc_ni","2.036","84ba813156e1f7d8bde495d74420319afec03572b981f6b56103807f305313ab","1dc72c5501eb2d9a1778c5a5622728257572a1dcd0ee218c9b4f9a00e0ad08f8","mc_ni","1dc72c5501eb2d9a1778c5a5622728257572a1dcd0ee218c9b4f9a00e0ad08f8","карточка/заморозка называет 84ba8131, слой сегодня считает на 1dc72c55; строка предрасчёта N-1|INCONEL 718 называет 1dc72c55","schitaetsya","v_reshatel","AL C CO CR CU FE MN MO NB NI SI TI","B P S","0.5000900162029165","","0.04000720129623332","0.5000900162029165","19.003420615710827","0.15002700486087495","18.39531115600808","","","0.1750315056710208","3.050549098837791","","5.100918165269748","52.00936168510332","","0.1750315056710208","","0.9001620291652498","","","","","","AL=0.010721868866133591;C=0.001926883461800127;CO=0.004908921414929098;CR=0.21142595004132292;CU=0.0013657703037768694;FE=0.1905545345152023;MN=0.001843061505899483;MO=0.018392022314233467;NB=0.031761502492943065;NI=0.5126154130404942;SI=0.00360527374082627;TI=0.010878798302438628","1520.4","1622.9","NA","calphad","canon/data/reference/deskriptory_splavov_v1.csv, splav=IN718, T_sol_K/T_liq_K; CALPHAD, mc_ni 2.036, sha256 84ba813156e1…; pycalphad 0.11.2 в ~/lilith_user_env (python 3.12), calphad_layer.raschet.solidus_likvidus, точность 0,25 K, pdens 200 (полная сетка), сторож движущей силы пройден; предрасчёт APP-312б, строка N-1","200","True","0.25","d60c03be8a710a8c99e6887de3f996ec3ec2dab4f0ed8a8d370cd404b194d3bf","LIQUID FCC_A1 BCC_A2 HCP_A3","LIQUID FCC_A1 BCC_A2 HCP_A3","False","","FCC_A1","BCC_B2","BCC_B2","",""
"kartochka","316L","W-4|316L (вариант ASTM F138)","Fe","датащит (соответствие ASTM F138)","mc_fe","2.059","1b12f7dcd1ec511735a486ca2c6dc3228db81bb3da5e7a36f819ef89d934914c","1b12f7dcd1ec511735a486ca2c6dc3228db81bb3da5e7a36f819ef89d934914c","mc_fe","1b12f7dcd1ec511735a486ca2c6dc3228db81bb3da5e7a36f819ef89d934914c","совпадает","schitaetsya","v_reshatel","C CR FE MO N NI","","","","0.015","","18.0","","65.31","","","","2.625","0.05","","14.0","","","","","","","","","","C=0.0006991009416078069;CR=0.19378955480386265;FE=0.6546711207381514;MO=0.015314828000927457;N=0.001998263108838764;NI=0.13352713240661201","1682.9","1695.9","NA","calphad","canon/data/reference/deskriptory_splavov_v1.csv, splav=316L, T_sol_K/T_liq_K; CALPHAD, mc_fe 2.059, sha256 1b12f7dcd1ec…; pycalphad 0.11.2 в ~/lilith_user_env (python 3.12), calphad_layer.raschet.solidus_likvidus, точность 0,25 K, pdens 200 (полная сетка), сторож движущей силы пройден; предрасчёт APP-312б, строка W-4; состав — колонки sostav_nom_* этой строки","200","True","0.25","ad6d1f0e1af52aa046d581e16582555c41eeb9c56d5df5e0836ac9693164a1d9","LIQUID FCC_A1 BCC_A2 HCP_A3","LIQUID FCC_A1 BCC_A2 HCP_A3","False","","BCC_A2 FCC_A1","","","",""
"kartochka","AlSi10Mg","","Al","стандарт через датащит","cost507","ROUND II","6565f4d67695fbbf779d68b9eeeb83e86e44a1a3dde9bafd612d99daffb9c34d","","cost507","6565f4d67695fbbf779d68b9eeeb83e86e44a1a3dde9bafd612d99daffb9c34d","совпадает","schitaetsya","v_reshatel","AL FE MG MN SI","CU NI PB SN TI ZN","89.12553244800803","","","","","","0.27562014532698575","","0.3507892758707091","0.22550739163117015","","","","","","10.022550739163117","","","","","","","","AL=0.8967451079002112;FE=0.0013398854736767947;MG=0.003918246002074876;MN=0.0011143688231979277;SI=0.09688239180083913","837.5","866.5","NA","calphad","canon/data/reference/deskriptory_splavov_v1.csv, splav=AlSi10Mg, T_sol_K/T_liq_K; CALPHAD, COST507 ROUND II, sha256 6565f4d67695…; pycalphad 0.11.2 в ~/lilith_user_env (python 3.12), calphad_layer.raschet.solidus_likvidus, точность 0,25 K, pdens 200 (полная сетка), сторож движущей силы пройден; ПОСЧИТАНО В APP-350 (в предрасчёте APP-312б строка AM-2 отказная: mc_al требует X(Al)>0,9, а тут 0,8967). Сторож добавил фазы ALFESI_ALPHA, ALMNSI_ALPHA, ALFESI_BETA","200","True","0.25","","LIQUID FCC_A1 BCC_A2 HCP_A3 CUB_A13 CBCC_A12","LIQUID FCC_A1 DIAMOND_A4 MG2SI HCP_A3 BCC_A2 ALFESI_ALPHA ALMNSI_ALPHA ALFESI_BETA","False","ALFESI_ALPHA ALMNSI_ALPHA ALFESI_BETA","ALFESI_BETA ALMNSI_ALPHA DIAMOND_A4 FCC_A1","","","sdacha/LOG_APP-350.md, «APP-312 AM-2 AlSi10Mg (EOS)»",""
"kartochka","18Ni300","","Fe","стандарт через датащит","","","","","mc_fe","1b12f7dcd1ec511735a486ca2c6dc3228db81bb3da5e7a36f819ef89d934914c","","otkaz_sloya: za_granicami_sostava — состав вне границ оптимизации базы mc_fe v2.059: CO 9 масс.% при пределе оптимизации базы < 3 масс.%; TI 0.65 масс.% при пределе оптимизации базы < 0.5 масс.%","v_reshatel","AL C CO FE MN MO NI SI TI","P S","0.10001000100010002","","0.015001500150015003","9.000900090009","","","66.68166816681669","","","0.05000500050005001","4.9504950495049505","","","18.5018501850185","","0.05000500050005001","","0.6500650065006501","","","","","","AL=0.0021365435823375097;C=0.0007199427891761388;CO=0.08803793637650825;FE=0.6882791651415885;MN=0.0005246661594764159;MO=0.02974035265724042;NI=0.1817068560756253;SI=0.0010263168762440925;TI=0.007828220341803319","NA","NA","1686.15","NA","canon/data/reference/deskriptory_splavov_v1.csv, splav=18Ni300, T_sol_K/T_liq_K; источник даёт плавление ОДНИМ числом, солидус и ликвидус не разделены — см. T_plav_odno_chislo_K","","","","","LIQUID FCC_A1 BCC_A2 HCP_A3","","","","","","","","состав ниже — тот, что слой подал бы в решатель БЕЗ проверки пределов шапки (для счёта ThermoGar)"
"kartochka","Ti6Al4V","","Ti","стандарт через датащит","","","","","","","","otkaz_sloya: net_bazy — открытой Ti-базы в наборе MatCalc нет; в слой не бралась. COST507 титану НЕ приписана: промах +77,7 K на упрощённой тройной Ti-6Al-4V — основание в манифесте, запись cost507, поле pochemu_osnova_TI_ne_pripisana","nominal_normirovannyj","","","6.125","","0.04","","","","0.15","0.0075","","","","0.025","","","0.1","","","89.55","4.0","","0.0025","","","","1877.15","1933.15","NA","literatura","canon/data/reference/deskriptory_splavov_v1.csv, splav=Ti6Al4V, T_sol_K/T_liq_K; 1604 °C. Titanium Ti-6Al-4V (Grade 5) Annealed Bar Data Sheet (данные Allvac); https://www.aerospacemetals.com/wp-content/uploads/2023/07/Titanium-Ti-6Al-4V-Grade-5-Annealed-Bar-Data-Sheet.pdf","","","","","","","","","","","","","базы нет; ниже — номинал, нормированный к 100 %"
"kartochka","CuCrZr","C-19|CuCr1Zr","Cu","стандарт через датащит","cost507","ROUND II","6565f4d67695fbbf779d68b9eeeb83e86e44a1a3dde9bafd612d99daffb9c34d","6565f4d67695fbbf779d68b9eeeb83e86e44a1a3dde9bafd612d99daffb9c34d","cost507","6565f4d67695fbbf779d68b9eeeb83e86e44a1a3dde9bafd612d99daffb9c34d","совпадает","schitaetsya","v_reshatel","CR CU SI ZR","FE","","","","","0.8503401360544218","98.93457382953181","","","","","","","","","","0.050020008003201284","","","","","","","0.16506602641056423","CR=0.010371336681288642;CU=0.987351655283152;SI=0.001129487212307772;ZR=0.001147520823251452","1236.3","1351.0","NA","calphad","canon/data/reference/deskriptory_splavov_v1.csv, splav=CuCrZr, T_sol_K/T_liq_K; CALPHAD, COST507 ROUND II, sha256 6565f4d67695…; pycalphad 0.11.2 в ~/lilith_user_env (python 3.12), calphad_layer.raschet.solidus_likvidus, точность 0,25 K, pdens 200 (полная сетка), сторож движущей силы пройден; предрасчёт APP-312б, строка C-19","200","True","0.25","139e004404ac6566222844103d3d3ee8ebf519b1a3fb6f7b86920e111578d167","LIQUID FCC_A1 BCC_A2 HCP_A3 CUB_A13 CBCC_A12","LIQUID FCC_A1 BCC_A2 HCP_A3 CUB_A13 CBCC_A12 CUB_A15 CU5ZR","False","CUB_A15 CU5ZR","BCC_A2 CU5ZR CUB_A15 FCC_A1","","","",""
"kartochka","БрХ08","C-24|БрХ0,8 (БрХ08)","Cu","марочник (близкая марка, не паспорт БрХ08)","cost507","ROUND II","6565f4d67695fbbf779d68b9eeeb83e86e44a1a3dde9bafd612d99daffb9c34d","6565f4d67695fbbf779d68b9eeeb83e86e44a1a3dde9bafd612d99daffb9c34d","cost507","6565f4d67695fbbf779d68b9eeeb83e86e44a1a3dde9bafd612d99daffb9c34d","совпадает","schitaetsya","v_reshatel","CR CU","","","","","","0.8","99.2","","","","","","","","","","","","","","","","","","CR=0.009759716174810515;CU=0.9902402838251895","1348.0","1352.5","1346.15","calphad","canon/data/reference/deskriptory_splavov_v1.csv, splav=БрХ08, T_sol_K/T_liq_K; CALPHAD, COST507 ROUND II, sha256 6565f4d67695…; pycalphad 0.11.2 в ~/lilith_user_env (python 3.12), calphad_layer.raschet.solidus_likvidus, точность 0,25 K, pdens 200 (полная сетка), сторож движущей силы пройден; предрасчёт APP-312б, строка C-24","200","True","0.25","ad6d1f0e1af52aa046d581e16582555c41eeb9c56d5df5e0836ac9693164a1d9","LIQUID FCC_A1 BCC_A2 HCP_A3 CUB_A13 CBCC_A12","LIQUID FCC_A1 BCC_A2 HCP_A3 CUB_A13 CBCC_A12","False","","BCC_A2 FCC_A1","","","",""
"kartochka","17-4 PH","","Fe","стандарт через датащит","","","","","mc_fe","1b12f7dcd1ec511735a486ca2c6dc3228db81bb3da5e7a36f819ef89d934914c","","otkaz_sloya: za_granicami_sostava — состав вне границ оптимизации базы mc_fe v2.059: CU 4 масс.% при пределе оптимизации базы < 1 масс.%","v_reshatel","C CR CU FE MN NB NI SI","P S","","","0.035012254289001156","","16.255689491321963","4.0014004901715605","74.40604211474017","","","0.5001750612714451","","","0.30010503676286704","4.0014004901715605","","0.5001750612714451","","","","","","","","C=0.0016112152844517439;CR=0.17280174584868382;CU=0.034804585711228124;FE=0.736438652091468;MN=0.005032245903576991;NB=0.0017854273703574327;NI=0.03768238467288607;SI=0.009843743117347791","1677.15","1713.15","NA","literatura","canon/data/reference/deskriptory_splavov_v1.csv, splav=17-4 PH, T_sol_K/T_liq_K; 1404 °C, нижняя граница Melting Range. Sandmeyer Steel, «Alloy 17-4PH» (Condition A); https://www.sandmeyersteel.com/alloy-17-4ph/","","","","","LIQUID FCC_A1 BCC_A2 HCP_A3","","","","","","","","состав ниже — тот, что слой подал бы в решатель БЕЗ проверки пределов шапки (для счёта ThermoGar)"
"kartochka","IN738","","Ni","статья CC BY (НОМИНАЛ, диапазонов в источнике нет)","","","","","mc_ni","1dc72c5501eb2d9a1778c5a5622728257572a1dcd0ee218c9b4f9a00e0ad08f8","","otkaz_sloya: element_ne_pokryt — база mc_ni v2.036 (ThermoGar garcalc) не содержит элемент(ы) TA; в базе есть только AL, B, C, CO, CR, CU, FE, HF, LA, MN, MO, N, NB, NI, O, S, SI, TI, V, W, Y, ZR","nominal_normirovannyj","","","3.4","0.01","0.11","8.5","16.0","","","","","","1.75","","0.9","61.53","","","1.75","3.4","","2.6","","","0.05","","1542.15","1598.15","NA","literatura","canon/data/reference/deskriptory_splavov_v1.csv, splav=IN738, T_sol_K/T_liq_K; 1269 ± 6 °C. Aune R.E. et al., «Thermophysical properties of IN738LC, MM247LC and CMSX-4…», Superalloys 2005 (TMS), табл. I: калориметрия, среднее трёх лабораторий, согласие в пределах 5 K; https://www.tms.org/superalloys/10.7449/2005/Superalloys_2005_467_476.pdf","","","","","LIQUID FCC_A1 BCC_A2 HCP_A3","","","","","","BCC_B2","","слой не подаёт этот состав в решатель; ниже — номинал, нормированный к 100 %, без отброса следов"
