"marka","sistema","plotnost_g_sm3","T_plotnost_C","metod_plotnost","rod_dokumenta","istochnik_plotnost","otkuda"
"RS320","Al","2.659","20","izmerenie","izmerenie: датащит производителя РУСАЛ (измерение на образцах EOS M290)","Датащит РУСАЛ «Сплав RS-320», 25.10.2018 (STATI_VHOD/RS-320-рус.pdf), раздел «Физические свойства», строка «Плотность, г/см3»: 2,659. ИЗМЕРЕНИЕ ПРОИЗВОДИТЕЛЯ; образцы изготовлены на установке EOS M290 (оговорка того же датащита). ТЕМПЕРАТУРУ ИЗМЕРЕНИЯ ДАТАЩИТ НЕ НАЗЫВАЕТ: 20 °C поставлено постановкой APP-592 §1 как комнатная, а не выписано из источника — если понадобится точность, число температуры надо подтверждать паспортом партии. Соседняя строка того же раздела, «Пористость, об. %»: ≤ 0,25 — это эталон, с которым APP-592 §3 сверяет прогноз пористости. Внесено APP-592, 11.09.2026.","canon/data/reference/deskriptory_splavov_v1.csv, splav=RS320, plotnost_g_sm3 (main d469cf2f)"
"VJ159","Ni","8.23","20","izmerenie","izmerenie: паспорт ВИАМ № 1668, дополнение № 2 (ВНУТРЕННИЕ данные владельца)","Выписка из дополнения № 2 к паспорту № 1668 ВИАМ на материал марки ВЖ159-ПС (ВЖ159-ПС и ВЖ159 — одна марка, решение владельца 09.09.2026; «ПС» — приписка ВИАМ за послойный синтез). Состояние ПОСЛЕ термической обработки: заготовки, полученные методом СЛС (EOS M290, порошок 10-63 мкм, две опытно-промышленные партии) и прошедшие ТО по ТР 1.2.2768-2019. ВНУТРЕННИЕ данные, не открытый источник; canon/data/reference/thermo/vj159_passport.md, строка 71 «Плотность, кг/м³», ГОСТ 20018-74: 8230 кг/м³ = 8,23 г/см³. ПРЕЖДЕ здесь стояло 8,20 при 20-25 °C — Протокол испытаний напечатанного ВЖ159, передан владельцем 07.2026. Состояние БЕЗ термообработки (решение владельца 09.09.2026). ВНУТРЕННИЕ данные, не открытый источник; canon/data/reference/thermo/vj159_passport.md — 3 образца (гидростатика 8,20/8,20/8,21)","canon/data/reference/deskriptory_splavov_v1.csv, splav=VJ159, plotnost_g_sm3 (main d469cf2f)"
"AlSi10Mg","Al","2.67","20","literatura","datashit: EPOC CRAFTER / EOS MDS (ISO 3369, ≥)","Material Data Sheet AlSi10Mg по ASTM F3318-18 (EPOC CRAFTER); https://www.epocrafter.com/wp-content/uploads/2026/06/EPOC-CRAFTER-AlSi10Mg-Material-Data-Sheet.pdf; то же число у EOS (ISO 3369, ≥2,67 г/см³) — EOS Aluminium AlSi10Mg, Material Data Sheet (DIN EN 1706 / EN AC-43000 / ASTM F3318-18); https://www.eos.info/03_system-related-assets/material-related-contents/metal-materials-and-examples/metal-material-datasheet/aluminium/material_datasheet_eos_aluminium-alsi10mg_en_web.pdf","canon/data/reference/deskriptory_splavov_v1.csv, splav=AlSi10Mg, plotnost_g_sm3 (main d469cf2f)"
"Copper","Cu","8.9","20","literatura","datashit: Aurubis C10200","Aurubis, Technical Datasheet C10200 (Cu-OF); https://www.aurubis.com/en/dam/jcr:90029b00-b968-486e-bde0-ce56f16022cd/c10200-cu-of-us.pdf","canon/data/reference/deskriptory_splavov_v1.csv, splav=Copper, plotnost_g_sm3 (main d469cf2f)"
"CuCrZr","Cu","8.91","20","literatura","datashit: METALCOR","METALCOR, datasheet CuCr1Zr / 2.1293 / CW106C / C18150, Physical Properties 20 °C; https://www.metalcor.de/en/datenblatt-pdf/133/","canon/data/reference/deskriptory_splavov_v1.csv, splav=CuCrZr, plotnost_g_sm3 (main d469cf2f)"
"17-4 PH","Fe","7.75","20","literatura","datashit: Sandmeyer Steel (Condition A)","Condition A. Sandmeyer Steel, «Alloy 17-4PH» (Condition A); https://www.sandmeyersteel.com/alloy-17-4ph/","canon/data/reference/deskriptory_splavov_v1.csv, splav=17-4 PH, plotnost_g_sm3 (main d469cf2f)"
"18Ni300","Fe","8.1","20","literatura","datashit: Sandvik (generic data — wrought material)","Sandvik, «Osprey 18Ni300-AM Maraging Steel» datasheet, раздел PHYSICAL PROPERTIES (generic data — wrought material); https://www.metalpowder.sandvik/siteassets/metal-powder/datasheets/osprey-18ni300-am-maraging-steel.pdf","canon/data/reference/deskriptory_splavov_v1.csv, splav=18Ni300, plotnost_g_sm3 (main d469cf2f)"
"316L","Fe","7.9","20","literatura","datashit: Sandmeyer Steel","Sandmeyer Steel, «Alloy 316/316L/317L» spec sheet; https://www.sandmeyersteel.com/wp-content/uploads/316-316l-317l-spec-sheet.pdf","canon/data/reference/deskriptory_splavov_v1.csv, splav=316L, plotnost_g_sm3 (main d469cf2f)"
"IN718","Ni","8.19","20","literatura","datashit: Special Metals (отожжённый прокат)","0,296 lb/in³ отожжённого = 8,19 г/см³. Special Metals, техбюллетень «INCONEL alloy 718»; https://www.specialmetals.com/documents/technical-bulletins/inconel/inconel-alloy-718.pdf; для напечатанного EOS даёт ≥8,15 г/см³ (EOS NickelAlloy IN718 MDS, ISO 3369 (плотность напечатанного образца ≥8,15 г/см³) — через canon/data/reference/alloys.md)","canon/data/reference/deskriptory_splavov_v1.csv, splav=IN718, plotnost_g_sm3 (main d469cf2f)"
"IN738","Ni","8.11","20","literatura","datashit: VDM Powder 738LC MDS (через canon/data/reference/alloys.md)","VDM Powder 738LC MDS (плотность 8,11 г/см³ при 20 °C) — через canon/data/reference/alloys.md","canon/data/reference/deskriptory_splavov_v1.csv, splav=IN738, plotnost_g_sm3 (main d469cf2f)"
